,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
IND,IND,3,2,0,0,HOU,27,1
CHI,CHI,2,3,0,0,KC,18,1
SEA,SEA,2,3,0,0,CIN,24,0
WSH,WSH,2,3,0,0,ATL,19,0
JAX,JAX,1,4,0,0,TB,31,0
NO,NO,1,4,0,0,PHI,17,0
CLE,CLE,2,3,0,0,BAL,33,1
STL,STL,2,3,0,0,GB,10,0
BUF,BUF,3,2,0,0,TEN,14,1
ARZ,ARZ,4,1,0,0,DET,42,1
NE,NE,4,0,0,0,DAL,30,1
DEN,DEN,5,0,0,0,OAK,16,1
SF,SF,1,4,0,0,NYG,27,0
PIT,PIT,3,2,0,0,SD,24,1
HOU,HOU,1,4,0,1,IND,20,0
KC,KC,1,4,0,1,CHI,17,0
CIN,CIN,5,0,0,1,SEA,27,1
ATL,ATL,5,0,0,1,WSH,25,1
TB,TB,2,3,0,1,JAX,38,1
PHI,PHI,2,3,0,1,NO,39,1
BAL,BAL,1,4,0,1,CLE,30,0
GB,GB,5,0,0,1,STL,24,1
TEN,TEN,1,3,0,1,BUF,13,0
DET,DET,0,5,0,1,ARZ,17,0
DAL,DAL,2,3,0,1,NE,6,0
OAK,OAK,2,3,0,1,DEN,10,0
NYG,NYG,3,2,0,1,SF,30,1
SD,SD,2,3,0,1,PIT,20,0
