,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SD,SD,4,11,0,0,OAK,20,0
WSH,WSH,8,7,0,0,PHI,38,1
SF,SF,4,11,0,0,DET,17,0
PIT,PIT,9,6,0,0,BAL,17,0
DAL,DAL,4,11,0,0,BUF,6,0
CHI,CHI,6,9,0,0,TB,26,1
CAR,CAR,14,1,0,0,ATL,13,0
CLE,CLE,3,12,0,0,KC,13,0
IND,IND,7,8,0,0,MIA,18,1
NE,NE,12,3,0,0,NYJ,20,0
HOU,HOU,8,7,0,0,TEN,34,1
JAX,JAX,5,10,0,0,NO,27,0
GB,GB,10,5,0,0,ARZ,8,0
STL,STL,7,8,0,0,SEA,23,1
NYG,NYG,6,9,0,0,MIN,17,0
CIN,CIN,11,4,0,0,DEN,17,0
OAK,OAK,7,8,0,1,SD,23,1
PHI,PHI,6,9,0,1,WSH,24,0
DET,DET,6,9,0,1,SF,32,1
BAL,BAL,5,10,0,1,PIT,20,1
BUF,BUF,7,8,0,1,DAL,16,1
TB,TB,6,9,0,1,CHI,21,0
ATL,ATL,8,7,0,1,CAR,20,1
KC,KC,10,5,0,1,CLE,17,1
MIA,MIA,5,10,0,1,IND,12,0
NYJ,NYJ,10,5,0,1,NE,26,1
TEN,TEN,3,12,0,1,HOU,6,0
NO,NO,6,9,0,1,JAX,38,1
ARZ,ARZ,13,2,0,1,GB,38,1
SEA,SEA,9,6,0,1,STL,17,0
MIN,MIN,10,5,0,1,NYG,49,1
DEN,DEN,11,4,0,1,CIN,20,1
