,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
ATL,ATL,5,1,0,0,NO,21,0
WSH,WSH,2,4,0,0,NYJ,20,0
ARZ,ARZ,4,2,0,0,PIT,13,0
KC,KC,1,5,0,0,MIN,10,0
CIN,CIN,6,0,0,0,BUF,34,1
CHI,CHI,2,4,0,0,DET,34,0
DEN,DEN,6,0,0,0,CLE,26,1
HOU,HOU,2,4,0,0,JAX,31,1
MIA,MIA,2,3,0,0,TEN,38,1
CAR,CAR,5,0,0,0,SEA,27,1
SD,SD,2,4,0,0,GB,20,0
BAL,BAL,1,5,0,0,SF,20,0
NE,NE,5,0,0,0,IND,34,1
NYG,NYG,3,3,0,0,PHI,7,0
NO,NO,2,4,0,1,ATL,31,1
NYJ,NYJ,4,1,0,1,WSH,34,1
PIT,PIT,4,2,0,1,ARZ,25,1
MIN,MIN,3,2,0,1,KC,16,1
BUF,BUF,3,3,0,1,CIN,21,0
DET,DET,1,5,0,1,CHI,37,1
CLE,CLE,2,4,0,1,DEN,23,0
JAX,JAX,1,5,0,1,HOU,20,0
TEN,TEN,1,4,0,1,MIA,10,0
SEA,SEA,2,4,0,1,CAR,23,0
GB,GB,6,0,0,1,SD,27,1
SF,SF,2,4,0,1,BAL,25,1
IND,IND,3,3,0,1,NE,27,0
PHI,PHI,3,3,0,1,NYG,27,1
