,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DEN,DEN,2,0,0,0,KC,31,1
HOU,HOU,0,2,0,0,CAR,17,0
SF,SF,1,1,0,0,PIT,18,0
TB,TB,1,1,0,0,NO,26,1
DET,DET,0,2,0,0,MIN,16,0
ARZ,ARZ,2,0,0,0,CHI,48,1
NE,NE,2,0,0,0,BUF,40,1
SD,SD,1,1,0,0,CIN,19,0
TEN,TEN,1,1,0,0,CLE,14,0
ATL,ATL,2,0,0,0,NYG,24,1
STL,STL,1,1,0,0,WSH,10,0
MIA,MIA,1,1,0,0,JAX,20,0
BAL,BAL,0,2,0,0,OAK,33,0
DAL,DAL,2,0,0,0,PHI,20,1
SEA,SEA,0,2,0,0,GB,17,0
NYJ,NYJ,2,0,0,0,IND,20,1
KC,KC,1,1,0,1,DEN,24,0
CAR,CAR,2,0,0,1,HOU,24,1
PIT,PIT,1,1,0,1,SF,43,1
NO,NO,0,2,0,1,TB,19,0
MIN,MIN,1,1,0,1,DET,26,1
CHI,CHI,0,2,0,1,ARZ,23,0
BUF,BUF,1,1,0,1,NE,32,0
CIN,CIN,2,0,0,1,SD,24,1
CLE,CLE,1,1,0,1,TEN,28,1
NYG,NYG,0,2,0,1,ATL,20,0
WSH,WSH,1,1,0,1,STL,24,1
JAX,JAX,1,1,0,1,MIA,23,1
OAK,OAK,1,1,0,1,BAL,37,1
PHI,PHI,0,2,0,1,DAL,10,0
GB,GB,2,0,0,1,SEA,27,1
IND,IND,0,2,0,1,NYJ,7,0
