,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIA,MIA,3,4,0,0,NE,7,0
DET,DET,1,7,0,0,KC,10,0
TB,TB,3,4,0,0,ATL,23,1
ARZ,ARZ,6,2,0,0,CLE,34,1
SF,SF,2,6,0,0,STL,6,0
NYG,NYG,4,4,0,0,NO,49,0
MIN,MIN,5,2,0,0,CHI,23,1
SD,SD,2,6,0,0,BAL,26,0
CIN,CIN,7,0,0,0,PIT,16,1
TEN,TEN,1,6,0,0,HOU,6,0
NYJ,NYJ,4,3,0,0,OAK,20,0
SEA,SEA,4,4,0,0,DAL,13,1
GB,GB,6,1,0,0,DEN,10,0
IND,IND,3,5,0,0,CAR,26,0
NE,NE,7,0,0,1,MIA,36,1
KC,KC,3,5,0,1,DET,45,1
ATL,ATL,6,2,0,1,TB,20,0
CLE,CLE,2,6,0,1,ARZ,20,0
STL,STL,4,3,0,1,SF,27,1
NO,NO,4,4,0,1,NYG,52,1
CHI,CHI,2,5,0,1,MIN,20,0
BAL,BAL,2,6,0,1,SD,29,1
PIT,PIT,4,4,0,1,CIN,10,0
HOU,HOU,3,5,0,1,TEN,20,1
OAK,OAK,4,3,0,1,NYJ,34,1
DAL,DAL,2,5,0,1,SEA,12,0
DEN,DEN,7,0,0,1,GB,29,1
CAR,CAR,7,0,0,1,IND,29,1
