,Team,Home,Opponent,Victory,Wins,Losses,Ties,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost,Opponent Wins,Opponent Losses,Opponent Ties,Opponent Passing Rank,Opponent Completions,Opponent Attempts,Opponent Completion %,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Interceptions,Opponent QB Rating,Opponent Sacks,Opponent Passing Yardage Lost to Sacks,Opponent First Downs Passing,Opponent Fumbles,Opponent Fumbles Lost,Opponent Rushing Rank,Opponent Attempts,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent First Downs Rushing,Opponent Kicking Rank,Opponent Kicking Points,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal %,Opponent Longest Field Goal,Opponent Field Goals Blocked,Opponent Extra Points Made,Opponent Extra Points Attempted,Opponent Extra Point %,Opponent Extra Points Blocked,Opponent Punting Rank,Opponent Punts,Opponent Punt Yards,Opponent Punt Yards Avg,Opponent Returning Rank,Opponent Kickoff Returns,Opponent Kickoff Return Yards,Opponent Kickoff Return Avg,Opponent Kickoff Return Touchdowns,Opponent Kickoff Return Long,Opponent Punt Returns,Opponent Punt Return Yards,Opponent Punt Return Avg,Opponent Punt Return Touchdowns,Opponent Punt Return Long,Opponent Defense Rank,Opponent Points Allowed,Opponent Total Tackles,Opponent Solo Tackles,Opponent Assisted Tackles,Opponent Sacks,Opponent Sack Yards,Opponent Interceptions,Opponent Interception Return Touchdowns,Opponent Forced Fumbles,Opponent Fumbles Opp Recovered,Opponent Fumbles Opp Recovered Touchdowns,Opponent Passes Defended,Opponent Stuffs,Opponent Stuff Yards,Opponent Safeties,Opponent Downs Rank,Opponent First Downs,Opponent First Downs Rushing,Opponent First Downs Passing,Opponent Third Downs Made,Opponent Third Downs Attempted,Opponent Third Down %,Opponent Fourth Downs Made,Opponent Fourth Downs Attempted,Opponent Fourth Down %,Opponent Penalties,Opponent First Downs Penalty,Opponent Penalty Yards,Opponent Yardage Rank,Opponent Points,Opponent Yards,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Kickoff Return Yards,Opponent Punt Return Yards,Opponent Penalty Yards,Opponent Turnovers Rank,Opponent Turnover +/-,Opponent Interceptions,Opponent Fumbles Opp Recovered,Opponent Interceptions,Opponent Fumbles Lost
NYG_3_2012,NYG,0,CAR,1,1,1,0,1.0,31.0,51.0,0.608,510.0,10.0,16.5,3.0,3.0,89.5,0.0,0.0,21.0,0.0,0.0,19.0,25.0,94.0,3.8,1.0,6.0,1.0,15.0,4.0,4.0,1.0,37.0,0.0,3.0,3.0,1.0,0.0,28.0,2.0,79.0,39.5,13.0,4.0,99.0,24.8,0.0,44.0,2.0,23.0,11.5,0.0,12.0,26.0,34.0,54.0,36.0,18.0,2.0,15.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,1.0,31.0,6.0,21.0,5.0,13.0,0.38,0.0,0.0,0.0,7.0,4.0,53.0,1.0,41.0,604.0,94.0,3.8,1.0,510.0,10.0,16.5,3.0,99.0,23.0,53.0,20.0,-1.0,2.0,0.0,3.0,0.0,1,1,0,13.0,14.0,20.0,0.7,244.0,12.2,18.1,1.0,0.0,127.9,1.0,9.0,10.0,0.0,0.0,2.0,41.0,219.0,5.3,3.0,12.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,19.0,5.0,229.0,45.8,15.0,3.0,72.0,24.0,0.0,24.0,1.0,14.0,14.0,0.0,14.0,17.0,27.0,73.0,35.0,38.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,23.0,12.0,10.0,6.0,12.0,0.5,0.0,1.0,0.0,4.0,1.0,34.0,3.0,35.0,463.0,219.0,5.3,3.0,244.0,12.2,18.1,1.0,72.0,14.0,34.0,7.0,1.0,2.0,0.0,0.0,1.0
TB_3_2012,TB,0,DAL,0,1,1,0,15.0,15.0,28.0,0.536,228.0,8.1,16.2,2.0,2.0,74.7,2.0,15.0,10.0,0.0,0.0,26.0,22.0,79.0,3.6,1.0,4.0,8.0,10.0,2.0,2.0,1.0,52.0,0.0,4.0,4.0,1.0,0.0,23.0,6.0,252.0,42.0,13.0,8.0,198.0,24.8,0.0,55.0,2.0,16.0,8.0,0.0,13.0,32.0,41.0,68.0,50.0,18.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,4.0,4.0,0.0,29.0,14.0,4.0,10.0,2.0,10.0,0.2,0.0,0.0,0.0,5.0,0.0,33.0,6.0,34.0,307.0,79.0,3.6,1.0,228.0,8.1,16.2,2.0,198.0,16.0,33.0,7.0,1.0,3.0,0.0,2.0,0.0,1,1,0,12.0,23.0,40.0,0.575,247.0,6.2,10.9,1.0,1.0,73.6,1.0,4.0,13.0,0.0,0.0,30.0,16.0,49.0,3.1,0.0,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.0,6.0,229.0,38.2,20.0,5.0,109.0,21.8,0.0,29.0,2.0,2.0,1.0,0.0,2.0,17.0,27.0,82.0,32.0,50.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,22.0,17.0,4.0,13.0,7.0,13.0,0.54,0.0,0.0,0.0,5.0,0.0,47.0,31.0,7.0,296.0,49.0,3.1,0.0,247.0,6.2,10.9,1.0,109.0,2.0,47.0,27.0,-2.0,0.0,0.0,1.0,1.0
JAX_3_2012,JAX,0,IND,1,0,2,0,32.0,9.0,21.0,0.429,52.0,2.5,8.4,1.0,0.0,66.2,3.0,24.0,4.0,0.0,0.0,29.0,14.0,65.0,4.6,0.0,3.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,9.0,470.0,52.2,9.0,3.0,79.0,26.3,0.0,38.0,3.0,32.0,10.7,0.0,18.0,17.0,27.0,71.0,67.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,31.0,9.0,3.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,2.0,71.0,31.0,7.0,117.0,65.0,4.6,0.0,52.0,2.5,8.4,1.0,79.0,32.0,71.0,20.0,-1.0,0.0,0.0,0.0,1.0,1,1,0,24.0,20.0,31.0,0.645,194.0,6.3,11.2,2.0,0.0,103.4,2.0,30.0,10.0,0.0,0.0,23.0,30.0,84.0,2.8,0.0,5.0,4.0,11.0,3.0,3.0,1.0,53.0,0.0,2.0,2.0,1.0,0.0,3.0,5.0,268.0,53.6,24.0,1.0,19.0,19.0,0.0,19.0,1.0,11.0,11.0,0.0,11.0,10.0,20.0,65.0,39.0,26.0,4.0,13.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,10.0,0.0,22.0,17.0,5.0,10.0,7.0,16.0,0.44,0.0,0.0,0.0,7.0,2.0,51.0,18.0,23.0,278.0,84.0,2.8,0.0,194.0,6.3,11.2,2.0,19.0,11.0,51.0,7.0,1.0,0.0,1.0,0.0,0.0
BUF_3_2012,BUF,0,CLE,1,1,1,0,26.0,10.0,19.0,0.526,178.0,9.4,17.8,2.0,0.0,120.1,0.0,0.0,6.0,0.0,0.0,4.0,36.0,201.0,5.6,2.0,9.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,8.0,7.0,349.0,49.9,31.0,1.0,5.0,5.0,0.0,5.0,3.0,98.0,32.7,1.0,88.0,7.0,17.0,59.0,44.0,15.0,5.0,29.0,1.0,0.0,2.0,2.0,0.0,9.0,2.0,8.0,0.0,27.0,15.0,9.0,6.0,5.0,12.0,0.42,0.0,0.0,0.0,5.0,0.0,50.0,3.0,35.0,379.0,201.0,5.6,2.0,178.0,9.4,17.8,2.0,5.0,98.0,50.0,2.0,3.0,1.0,2.0,0.0,0.0,0,2,0,5.0,26.0,37.0,0.703,309.0,8.4,12.4,2.0,0.0,113.5,2.0,13.0,16.0,0.0,0.0,12.0,23.0,130.0,5.7,1.0,4.0,10.0,9.0,2.0,2.0,1.0,50.0,0.0,3.0,3.0,1.0,0.0,18.0,4.0,186.0,46.5,8.0,6.0,165.0,27.5,0.0,38.0,1.0,9.0,9.0,0.0,9.0,26.0,34.0,60.0,40.0,20.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,14.0,21.0,4.0,16.0,7.0,15.0,0.47,0.0,0.0,0.0,10.0,1.0,103.0,10.0,27.0,439.0,130.0,5.7,1.0,309.0,8.4,12.4,2.0,165.0,9.0,103.0,14.0,0.0,1.0,0.0,0.0,1.0
NYJ_3_2012,NYJ,0,MIA,1,1,1,0,30.0,10.0,27.0,0.37,129.0,4.8,13.8,1.0,0.0,65.2,2.0,9.0,6.0,0.0,0.0,21.0,22.0,90.0,4.1,0.0,5.0,26.0,4.0,1.0,1.0,1.0,38.0,0.0,1.0,1.0,1.0,0.0,20.0,6.0,272.0,45.3,6.0,4.0,112.0,28.0,0.0,33.0,3.0,6.0,2.0,0.0,3.0,17.0,27.0,72.0,40.0,32.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,20.0,0.0,25.0,16.0,5.0,6.0,4.0,12.0,0.33,0.0,0.0,0.0,7.0,5.0,63.0,28.0,10.0,219.0,90.0,4.1,0.0,129.0,4.8,13.8,1.0,112.0,6.0,63.0,20.0,-1.0,0.0,0.0,0.0,1.0,1,1,0,25.0,18.0,30.0,0.6,189.0,6.3,11.1,1.0,0.0,89.4,1.0,11.0,11.0,0.0,0.0,1.0,43.0,263.0,6.1,4.0,12.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,10.0,7.0,348.0,49.7,32.0,0.0,0.0,0.0,0.0,0.0,6.0,85.0,14.2,0.0,21.0,6.0,13.0,37.0,35.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,8.0,24.0,12.0,11.0,9.0,17.0,0.53,1.0,1.0,1.0,3.0,1.0,21.0,3.0,35.0,452.0,263.0,6.1,4.0,189.0,6.3,11.1,1.0,0.0,85.0,21.0,7.0,1.0,1.0,0.0,0.0,0.0
KC_3_2012,KC,0,NO,1,0,2,0,9.0,23.0,42.0,0.548,272.0,6.5,13.1,2.0,1.0,80.7,5.0,29.0,15.0,1.0,1.0,9.0,24.0,150.0,6.3,0.0,8.0,22.0,5.0,1.0,1.0,1.0,33.0,0.0,2.0,2.0,1.0,0.0,21.0,7.0,313.0,44.7,22.0,2.0,40.0,20.0,0.0,23.0,4.0,61.0,15.3,0.0,23.0,28.0,35.0,54.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,0.0,6.0,25.0,8.0,15.0,5.0,14.0,0.36,0.0,0.0,0.0,4.0,2.0,33.0,26.0,17.0,422.0,150.0,6.3,0.0,272.0,6.5,13.1,2.0,40.0,61.0,33.0,31.0,-3.0,0.0,0.0,1.0,2.0,0,2,0,4.0,31.0,49.0,0.633,323.0,6.6,10.5,1.0,2.0,72.1,1.0,2.0,19.0,1.0,0.0,7.0,27.0,163.0,6.0,2.0,8.0,10.0,9.0,2.0,2.0,1.0,53.0,0.0,3.0,3.0,1.0,0.0,12.0,3.0,148.0,49.3,25.0,3.0,54.0,18.0,0.0,38.0,2.0,30.0,15.0,0.0,16.0,28.0,35.0,58.0,36.0,22.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,3.0,27.0,8.0,19.0,7.0,13.0,0.54,0.0,1.0,0.0,2.0,0.0,23.0,10.0,27.0,486.0,163.0,6.0,2.0,323.0,6.6,10.5,1.0,54.0,30.0,23.0,20.0,-1.0,0.0,1.0,2.0,0.0
CIN_3_2012,CIN,0,WSH,1,1,1,0,8.0,24.0,31.0,0.774,295.0,9.5,13.3,3.0,1.0,125.1,6.0,23.0,14.0,0.0,0.0,25.0,25.0,80.0,3.2,0.0,3.0,8.0,10.0,2.0,2.0,1.0,39.0,0.0,4.0,4.0,1.0,0.0,23.0,3.0,126.0,42.0,10.0,4.0,103.0,25.8,0.0,31.0,3.0,90.0,30.0,1.0,81.0,17.0,27.0,70.0,28.0,42.0,2.0,13.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,14.0,21.0,3.0,14.0,4.0,12.0,0.33,1.0,1.0,1.0,6.0,4.0,54.0,6.0,34.0,375.0,80.0,3.2,0.0,295.0,9.5,13.3,3.0,103.0,90.0,54.0,14.0,0.0,0.0,1.0,1.0,0.0,1,1,0,22.0,20.0,29.0,0.69,197.0,6.8,10.3,1.0,1.0,85.0,1.0,9.0,7.0,0.0,0.0,6.0,29.0,176.0,6.1,2.0,9.0,26.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,27.0,6.0,240.0,40.0,29.0,4.0,53.0,13.3,0.0,26.0,1.0,-3.0,-3.0,0.0,-3.0,25.0,31.0,52.0,51.0,1.0,2.0,9.0,1.0,0.0,3.0,2.0,1.0,5.0,3.0,6.0,0.0,20.0,18.0,9.0,7.0,4.0,13.0,0.31,0.0,0.0,0.0,11.0,2.0,96.0,9.0,28.0,373.0,176.0,6.1,2.0,197.0,6.8,10.3,1.0,53.0,-3.0,96.0,3.0,2.0,1.0,2.0,1.0,0.0
STL_3_2012,STL,0,CHI,0,1,1,0,6.0,26.0,35.0,0.743,301.0,8.6,11.9,3.0,1.0,116.5,2.0,9.0,15.0,1.0,0.0,8.0,27.0,151.0,5.6,0.0,6.0,4.0,11.0,3.0,3.0,1.0,42.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,163.0,54.3,30.0,1.0,12.0,12.0,0.0,12.0,4.0,29.0,7.3,0.0,22.0,24.0,28.0,49.0,45.0,4.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,0.0,11.0,23.0,6.0,15.0,7.0,12.0,0.58,0.0,0.0,0.0,7.0,2.0,60.0,8.0,31.0,452.0,151.0,5.6,0.0,301.0,8.6,11.9,3.0,12.0,29.0,60.0,27.0,-2.0,1.0,0.0,1.0,2.0,1,1,0,31.0,11.0,27.0,0.407,74.0,2.7,11.5,1.0,4.0,21.3,7.0,52.0,7.0,0.0,0.0,19.0,23.0,94.0,4.1,0.0,3.0,26.0,4.0,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,0.0,16.0,6.0,281.0,46.8,5.0,2.0,57.0,28.5,0.0,38.0,2.0,8.0,4.0,0.0,7.0,13.0,23.0,68.0,42.0,26.0,5.0,31.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,30.0,11.0,3.0,7.0,5.0,15.0,0.33,1.0,2.0,0.5,8.0,1.0,65.0,28.0,10.0,168.0,94.0,4.1,0.0,74.0,2.7,11.5,1.0,57.0,8.0,65.0,27.0,-2.0,1.0,1.0,4.0,0.0
SF_3_2012,SF,0,MIN,0,2,0,0,21.0,20.0,31.0,0.645,201.0,6.5,11.3,2.0,0.0,104.4,3.0,25.0,13.0,1.0,0.0,10.0,27.0,148.0,5.5,1.0,8.0,10.0,9.0,2.0,2.0,1.0,48.0,0.0,3.0,3.0,1.0,0.0,31.0,3.0,109.0,36.3,27.0,5.0,85.0,17.0,0.0,26.0,1.0,8.0,8.0,0.0,8.0,9.0,19.0,50.0,44.0,6.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,24.0,8.0,13.0,4.0,11.0,0.36,0.0,0.0,0.0,5.0,3.0,62.0,10.0,27.0,349.0,148.0,5.5,1.0,201.0,6.5,11.3,2.0,85.0,8.0,62.0,14.0,0.0,1.0,0.0,0.0,1.0,1,1,0,14.0,27.0,35.0,0.771,232.0,6.6,9.1,2.0,0.0,113.0,4.0,13.0,14.0,1.0,1.0,18.0,26.0,95.0,3.7,0.0,4.0,17.0,8.0,2.0,2.0,1.0,51.0,0.0,2.0,2.0,1.0,0.0,13.0,4.0,192.0,48.0,7.0,4.0,111.0,27.8,0.0,50.0,5.0,51.0,10.2,0.0,14.0,13.0,23.0,61.0,39.0,22.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,18.0,19.0,4.0,14.0,7.0,15.0,0.47,1.0,1.0,1.0,11.0,1.0,105.0,22.0,20.0,327.0,95.0,3.7,0.0,232.0,6.6,9.1,2.0,111.0,51.0,105.0,20.0,-1.0,0.0,0.0,0.0,1.0
DET_3_2012,DET,0,TEN,0,1,1,0,18.0,19.0,32.0,0.594,214.0,6.7,12.1,1.0,1.0,76.8,2.0,16.0,10.0,0.0,0.0,24.0,26.0,82.0,3.2,0.0,3.0,2.0,13.0,4.0,5.0,0.8,48.0,0.0,1.0,1.0,1.0,0.0,22.0,2.0,89.0,44.5,3.0,2.0,64.0,32.0,0.0,40.0,1.0,10.0,10.0,0.0,10.0,17.0,27.0,47.0,44.0,3.0,3.0,25.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,27.0,15.0,3.0,10.0,6.0,15.0,0.4,1.0,1.0,1.0,8.0,2.0,67.0,24.0,19.0,296.0,82.0,3.2,0.0,214.0,6.7,12.1,1.0,64.0,10.0,67.0,14.0,0.0,0.0,1.0,1.0,0.0,0,2,0,27.0,15.0,30.0,0.5,174.0,5.8,11.6,1.0,1.0,65.1,0.0,0.0,7.0,0.0,0.0,31.0,10.0,38.0,3.8,0.0,1.0,26.0,4.0,1.0,1.0,1.0,23.0,0.0,1.0,1.0,1.0,0.0,5.0,7.0,361.0,51.6,11.0,7.0,177.0,25.3,0.0,71.0,3.0,30.0,10.0,0.0,16.0,31.0,38.0,90.0,63.0,27.0,4.0,16.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,7.0,0.0,31.0,9.0,1.0,7.0,1.0,9.0,0.11,0.0,0.0,0.0,8.0,1.0,59.0,28.0,10.0,212.0,38.0,3.8,0.0,174.0,5.8,11.6,1.0,177.0,30.0,59.0,14.0,0.0,1.0,0.0,1.0,0.0
