,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,3,22,33,0.667,334,10.1,15.6,2,0,120.0,1,9,12,0,0,7,34,176,5.2,1,11,6,10,2,2,1.0,36,0,4,4,1.0,0,17,5,211,42.2,22,3,54,18.0,0,20,5,15,3.0,0,10,4,13,38,36,2,2,16,2,1,2,1,0,5,4,12,0,2,24,11,12,4,13,0.31,0,1,0.0,10,1,69,3,34,510,176,5.2,1,334,10.1,15.6,2,54,15,69,1,3,2,1,0,0
ATL,15,17,22,0.773,201,9.1,12.9,2,0,134.8,3,19,12,1,1,1,57,252,4.4,1,14,14,6,1,2,0.5,48,0,3,3,1.0,0,28,2,33,16.5,7,1,26,26.0,0,26,2,13,6.5,0,7,1,0,22,20,2,4,21,1,0,1,1,0,3,2,7,0,1,30,14,12,9,17,0.53,1,2,0.5,4,4,40,12,24,453,252,4.4,1,201,9.1,12.9,2,26,13,40,9,1,1,1,0,1
BAL,11,17,29,0.586,236,8.1,14.6,2,0,107.8,2,12,13,0,0,3,41,193,4.7,1,8,4,13,3,3,1.0,41,0,4,4,1.0,0,18,6,250,41.7,28,4,34,8.5,0,28,5,26,5.2,0,23,21,27,44,38,6,1,9,1,1,1,1,0,5,1,1,0,6,21,8,13,7,16,0.44,0,0,0.0,7,0,42,1,37,429,193,4.7,1,236,8.1,14.6,2,34,26,42,3,2,1,1,0,0
BUF,9,24,35,0.686,262,7.5,12.0,1,2,76.1,5,27,13,1,1,27,17,30,1.8,0,3,16,5,1,2,0.5,53,0,2,2,1.0,0,22,1,39,39.0,8,7,179,25.6,0,44,0,0,0.0,0,0,18,26,50,39,11,0,0,1,1,0,0,0,7,3,4,0,14,18,3,13,8,13,0.62,0,1,0.0,7,2,45,20,17,292,30,1.8,0,262,7.5,12.0,1,179,0,45,21,-2,1,0,2,1
CHI,21,16,32,0.5,166,5.2,10.4,1,1,62.8,1,0,9,0,0,9,31,154,5.0,2,9,9,9,2,2,1.0,41,0,3,3,1.0,0,24,7,266,38.0,27,4,65,16.3,0,22,2,21,10.5,0,20,15,23,59,51,8,2,12,2,0,1,1,0,6,4,12,0,14,18,9,9,5,15,0.33,0,0,0.0,3,0,25,6,27,320,154,5.0,2,166,5.2,10.4,1,65,21,25,9,1,2,1,1,1
CIN,24,21,31,0.677,153,4.9,7.7,2,1,87.2,2,9,8,0,0,8,29,159,5.5,1,9,23,3,0,0,0.0,0,0,3,3,1.0,0,27,7,247,35.3,26,2,34,17.0,0,18,4,22,5.5,0,13,11,19,59,32,27,3,15,1,0,0,0,0,7,1,1,0,10,20,9,8,6,13,0.46,0,0,0.0,5,3,39,15,21,312,159,5.5,1,153,4.9,7.7,2,34,22,39,15,-1,1,0,1,1
CLE,13,17,33,0.515,210,6.4,12.9,2,1,79.1,1,9,12,0,0,20,23,64,2.8,0,1,9,9,2,2,1.0,54,0,3,3,1.0,0,18,6,250,41.7,4,7,237,33.9,1,92,3,41,13.7,0,32,28,37,61,54,7,2,12,0,0,0,0,0,4,5,7,0,22,14,1,12,2,12,0.17,0,1,0.0,8,1,37,6,27,274,64,2.8,0,210,6.4,12.9,2,237,41,37,21,-2,0,0,1,1
DAL,27,14,27,0.519,102,3.8,9.6,1,3,33.8,4,32,6,0,0,14,24,81,3.4,0,4,25,2,0,0,0.0,0,0,2,2,1.0,0,23,6,230,38.3,16,5,108,21.6,0,25,1,6,6.0,0,6,27,35,70,49,21,4,28,1,1,2,2,0,2,1,2,0,26,11,4,6,6,13,0.46,1,1,1.0,9,1,55,24,14,183,81,3.4,0,102,3.8,9.6,1,108,6,55,15,-1,1,2,3,1
DEN,5,24,46,0.522,305,6.6,12.8,2,3,60.5,1,2,13,0,0,28,12,14,1.2,0,0,16,5,1,2,0.5,50,0,2,2,1.0,0,6,4,185,46.3,2,5,182,36.4,0,95,1,16,16.0,0,16,18,26,63,44,19,3,15,1,0,0,0,0,8,4,7,0,22,14,0,13,6,16,0.38,0,1,0.0,10,1,81,20,17,319,14,1.2,0,305,6.6,12.8,2,182,16,81,21,-2,1,0,3,0
DET,7,28,47,0.596,280,6.0,10.4,2,2,73.0,2,12,17,1,0,25,26,53,2.0,1,4,16,5,1,1,1.0,52,0,2,3,0.667,1,16,6,254,42.3,15,6,137,22.8,0,31,2,31,15.5,0,27,21,27,53,45,8,1,0,1,0,1,1,0,5,2,2,0,6,21,4,17,7,17,0.41,0,0,0.0,4,0,36,13,23,333,53,2.0,1,280,6.0,10.4,2,137,31,36,15,-1,1,1,2,1
GB,6,22,41,0.537,288,7.0,14.3,1,1,74.0,4,26,12,1,1,11,24,102,4.3,0,5,6,10,3,3,1.0,38,0,1,1,1.0,0,13,3,133,44.3,5,3,97,32.3,0,40,3,27,9.0,0,21,11,19,68,52,16,2,11,0,0,0,0,0,8,3,4,0,14,18,5,12,6,15,0.4,0,2,0.0,4,1,41,22,16,390,102,4.3,0,288,7.0,14.3,1,97,27,41,21,-2,0,0,1,1
