,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,4,32,50,0.64,273,5.5,9.3,1,1,76.5,4,25,13,1,0,32,7,43,6.1,0,1,28,2,0,0,0.0,0,0,2,2,1.0,0,15,6,273,45.5,18,6,126,21.0,0,29,3,32,10.7,0,25,31,35,68,54,14,3,6,0,0,1,1,0,3,3,6,0,24,16,1,13,4,13,0.31,2,3,0.67,5,2,60,20,14,316,43,6.1,0,273,5.5,9.3,1,126,32,60,22,-1,0,1,1,1
ATL,21,15,23,0.652,198,8.6,13.7,0,2,56.1,1,8,9,1,0,4,43,175,4.1,1,9,12,7,2,2,1.0,34,0,1,1,1.0,0,29,6,225,37.5,25,3,56,18.7,0,20,4,37,9.3,0,17,4,10,75,54,21,4,43,1,0,0,0,0,7,2,4,0,13,18,9,9,6,14,0.43,0,0,0.0,3,0,20,22,13,373,175,4.1,1,198,8.6,13.7,0,56,37,20,28,-2,1,0,2,1
BAL,32,11,28,0.393,90,3.2,10.5,0,2,18.5,2,25,8,1,0,14,31,112,3.6,0,4,6,9,3,3,1.0,28,0,0,0,0.0,0,23,7,292,41.7,15,4,91,22.8,0,39,5,90,18.0,0,46,8,13,61,50,11,3,26,0,0,2,2,0,7,2,7,0,30,12,4,8,4,14,0.29,0,0,0.0,6,0,40,30,9,202,112,3.6,0,90,3.2,10.5,0,91,90,40,12,0,0,2,2,0
BUF,31,24,39,0.615,119,3.1,6.2,1,3,42.6,3,29,14,3,1,3,32,187,5.8,2,9,6,9,2,2,1.0,48,0,3,3,1.0,0,1,3,166,55.3,9,6,154,25.7,0,40,1,56,56.0,0,56,29,31,56,38,18,0,0,2,0,0,0,0,5,1,2,0,4,23,9,14,6,14,0.43,2,2,1.0,4,0,33,7,27,306,187,5.8,2,119,3.1,6.2,1,154,56,33,28,-2,2,0,3,1
CAR,7,17,26,0.654,253,9.7,14.9,1,1,93.9,0,0,11,0,0,6,30,147,4.9,2,7,1,12,3,3,1.0,44,0,3,3,1.0,0,27,4,159,39.8,23,3,60,20.0,0,24,2,22,11.0,0,16,4,10,48,46,2,3,14,1,0,1,1,0,8,2,2,0,13,18,7,11,4,10,0.4,0,0,0.0,5,0,35,5,30,400,147,4.9,2,253,9.7,14.9,1,60,22,35,6,1,1,1,1,0
CHI,24,24,41,0.585,171,4.2,7.2,0,2,47.9,1,1,9,0,0,31,20,55,2.8,2,5,6,9,2,2,1.0,35,0,3,3,1.0,0,18,5,216,43.2,3,6,192,32.0,1,83,2,-2,-1.0,0,5,23,24,66,53,13,1,6,2,0,0,0,0,9,3,11,0,24,16,5,9,5,12,0.42,0,1,0.0,4,2,24,7,27,226,55,2.8,2,171,4.2,7.2,0,192,-2,24,22,-1,2,0,2,1
CIN,20,16,29,0.552,204,7.0,13.1,1,0,88.9,2,5,9,0,0,17,33,106,3.2,1,7,10,8,2,2,1.0,45,0,2,2,1.0,0,28,6,230,38.3,28,1,18,18.0,0,18,1,8,8.0,0,8,8,13,65,30,35,0,0,0,0,2,2,0,3,2,3,0,21,17,7,9,4,14,0.29,1,1,1.0,6,1,41,15,20,310,106,3.2,1,204,7.0,13.1,1,18,8,41,1,2,0,2,0,0
CLE,30,11,29,0.379,139,4.8,14.2,0,2,24.9,2,17,8,0,0,30,20,57,2.9,0,3,23,4,1,1,1.0,27,0,1,1,1.0,0,12,6,277,46.2,24,4,78,19.5,0,24,0,0,0.0,0,0,27,30,58,52,6,2,6,3,1,0,0,0,8,1,1,0,31,11,3,8,3,12,0.25,0,1,0.0,3,0,20,27,10,196,57,2.9,0,139,4.8,14.2,0,78,0,20,6,1,3,0,2,0
DAL,12,20,30,0.667,221,7.4,12.2,2,0,110.6,4,23,12,1,0,20,21,100,4.8,1,4,28,2,0,0,0.0,0,0,2,2,1.0,0,20,6,253,42.2,11,3,76,25.3,0,29,4,34,8.5,0,13,1,8,54,34,20,8,45,2,0,2,0,0,4,2,2,0,21,17,4,12,3,11,0.27,0,0,0.0,11,1,108,15,20,321,100,4.8,1,221,7.4,12.2,2,76,34,108,1,2,2,0,0,0
DEN,26,21,33,0.636,158,4.8,8.2,1,1,72.5,3,14,10,0,0,10,23,121,5.3,0,4,23,4,1,2,0.5,43,0,1,1,1.0,0,9,5,241,48.2,14,5,116,23.2,0,39,1,-3,-3.0,0,-3,27,30,48,41,7,0,0,1,0,0,0,0,4,4,8,0,27,15,4,10,6,13,0.46,0,0,0.0,3,1,25,27,10,279,121,5.3,0,158,4.8,8.2,1,116,-3,25,22,-1,1,0,1,1
DET,8,23,34,0.676,233,6.9,10.1,1,0,96.8,0,0,8,0,0,26,22,90,4.1,1,8,12,7,2,2,1.0,51,0,1,1,1.0,0,8,4,193,48.3,9,6,154,25.7,0,33,3,15,5.0,0,13,29,31,71,50,21,1,3,0,0,3,2,0,2,4,11,0,13,18,8,8,4,10,0.4,0,0,0.0,6,2,48,13,21,323,90,4.1,1,233,6.9,10.1,1,154,15,48,12,0,0,2,0,2
GB,6,20,32,0.625,254,7.9,13.9,1,1,84.6,3,24,13,1,0,27,28,84,3.0,0,4,5,10,3,3,1.0,38,0,1,1,1.0,0,17,2,87,43.5,26,4,74,18.5,0,21,1,5,5.0,0,5,15,20,39,39,0,2,9,0,0,1,0,0,2,0,0,0,13,18,4,13,10,16,0.63,0,1,0.0,3,1,30,19,16,338,84,3.0,0,254,7.9,13.9,1,74,5,30,22,-1,0,0,1,0
