,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
KC,KC,7,4,0,0,OAK,20,0
CLE,CLE,7,4,0,0,ATL,26,1
TEN,TEN,2,9,0,0,PHI,24,0
DET,DET,7,4,0,0,NE,9,0
GB,GB,8,3,0,0,MIN,24,1
JAX,JAX,1,10,0,0,IND,3,0
CIN,CIN,7,3,1,0,HOU,22,1
TB,TB,2,9,0,0,CHI,13,0
ARZ,ARZ,9,2,0,0,SEA,3,0
STL,STL,4,7,0,0,SD,24,0
WSH,WSH,3,8,0,0,SF,13,0
MIA,MIA,6,5,0,0,DEN,36,0
DAL,DAL,8,3,0,0,NYG,31,1
NYJ,NYJ,2,9,0,0,BUF,3,0
BAL,BAL,7,4,0,0,NO,34,1
OAK,OAK,1,10,0,1,KC,24,1
ATL,ATL,4,7,0,1,CLE,24,0
PHI,PHI,8,3,0,1,TEN,43,1
NE,NE,9,2,0,1,DET,34,1
MIN,MIN,4,7,0,1,GB,21,0
IND,IND,7,4,0,1,JAX,23,1
HOU,HOU,5,6,0,1,CIN,13,0
CHI,CHI,5,6,0,1,TB,21,1
SEA,SEA,7,4,0,1,ARZ,19,1
SD,SD,7,4,0,1,STL,27,1
SF,SF,7,4,0,1,WSH,17,1
DEN,DEN,8,3,0,1,MIA,39,1
NYG,NYG,3,8,0,1,DAL,28,0
BUF,BUF,6,5,0,1,NYJ,38,1
NO,NO,4,7,0,1,BAL,27,0
