,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DAL,DAL,9,4,0,0,CHI,41,1
PIT,PIT,8,5,0,0,CIN,42,1
STL,STL,6,7,0,0,WSH,24,1
NYG,NYG,4,9,0,0,TEN,36,1
CAR,CAR,4,8,1,0,NO,41,1
NYJ,NYJ,2,11,0,0,MIN,24,0
BAL,BAL,8,5,0,0,MIA,28,1
IND,IND,9,4,0,0,CLE,25,1
TB,TB,2,11,0,0,DET,17,0
HOU,HOU,7,6,0,0,JAX,27,1
BUF,BUF,7,6,0,0,DEN,17,0
KC,KC,7,6,0,0,ARZ,14,0
SEA,SEA,9,4,0,0,PHI,24,1
SF,SF,7,6,0,0,OAK,13,0
NE,NE,10,3,0,0,SD,23,1
ATL,ATL,5,8,0,0,GB,37,0
CHI,CHI,5,8,0,1,DAL,28,0
CIN,CIN,8,4,1,1,PIT,21,0
WSH,WSH,3,10,0,1,STL,0,0
TEN,TEN,2,11,0,1,NYG,7,0
NO,NO,5,8,0,1,CAR,10,0
MIN,MIN,6,7,0,1,NYJ,30,1
MIA,MIA,7,6,0,1,BAL,13,0
CLE,CLE,7,6,0,1,IND,24,0
DET,DET,9,4,0,1,TB,34,1
JAX,JAX,2,11,0,1,HOU,13,0
DEN,DEN,10,3,0,1,BUF,24,1
ARZ,ARZ,10,3,0,1,KC,17,1
PHI,PHI,9,4,0,1,SEA,14,0
OAK,OAK,2,11,0,1,SF,24,1
SD,SD,8,5,0,1,NE,14,0
GB,GB,10,3,0,1,ATL,43,1
