,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
TB,TB,0,3,0,0,ATL,14,0
SD,SD,2,1,0,0,BUF,22,1
DAL,DAL,2,1,0,0,STL,34,1
WSH,WSH,1,2,0,0,PHI,34,0
HOU,HOU,2,1,0,0,NYG,17,0
MIN,MIN,1,2,0,0,NO,9,0
TEN,TEN,1,2,0,0,CIN,7,0
BAL,BAL,2,1,0,0,CLE,23,1
GB,GB,1,2,0,0,DET,7,0
IND,IND,1,2,0,0,JAX,44,1
OAK,OAK,0,3,0,0,NE,9,0
SF,SF,1,2,0,0,ARZ,14,0
DEN,DEN,2,1,0,0,SEA,20,0
KC,KC,1,2,0,0,MIA,34,1
PIT,PIT,2,1,0,0,CAR,37,1
CHI,CHI,2,1,0,0,NYJ,27,1
ATL,ATL,2,1,0,1,TB,56,1
BUF,BUF,2,1,0,1,SD,10,0
STL,STL,1,2,0,1,DAL,31,0
PHI,PHI,3,0,0,1,WSH,37,1
NYG,NYG,1,2,0,1,HOU,30,1
NO,NO,1,2,0,1,MIN,20,1
CIN,CIN,3,0,0,1,TEN,33,1
CLE,CLE,1,2,0,1,BAL,21,0
DET,DET,2,1,0,1,GB,19,1
JAX,JAX,0,3,0,1,IND,17,0
NE,NE,2,1,0,1,OAK,16,1
ARZ,ARZ,3,0,0,1,SF,23,1
SEA,SEA,2,1,0,1,DEN,26,1
MIA,MIA,1,2,0,1,KC,15,0
CAR,CAR,2,1,0,1,PIT,19,0
NYJ,NYJ,1,2,0,1,CHI,19,0
