,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
GB,GB,0,1,0,0,SEA,16,0
WSH,WSH,0,1,0,0,HOU,6,0
TEN,TEN,1,0,0,0,KC,26,1
NE,NE,0,1,0,0,MIA,20,0
OAK,OAK,0,1,0,0,NYJ,14,0
JAX,JAX,0,1,0,0,PHI,17,0
CLE,CLE,0,1,0,0,PIT,27,0
MIN,MIN,1,0,0,0,STL,34,1
BUF,BUF,1,0,0,0,CHI,23,1
CIN,CIN,1,0,0,0,BAL,23,1
NO,NO,0,1,0,0,ATL,34,0
CAR,CAR,1,0,0,0,TB,20,1
SF,SF,1,0,0,0,DAL,28,1
IND,IND,0,1,0,0,DEN,24,0
NYG,NYG,0,1,0,0,DET,14,0
SD,SD,0,1,0,0,ARZ,17,0
SEA,SEA,1,0,0,1,GB,36,1
HOU,HOU,1,0,0,1,WSH,17,1
KC,KC,0,1,0,1,TEN,10,0
MIA,MIA,1,0,0,1,NE,33,1
NYJ,NYJ,1,0,0,1,OAK,19,1
PHI,PHI,1,0,0,1,JAX,34,1
PIT,PIT,1,0,0,1,CLE,30,1
STL,STL,0,1,0,1,MIN,6,0
CHI,CHI,0,1,0,1,BUF,20,0
BAL,BAL,0,1,0,1,CIN,16,0
ATL,ATL,1,0,0,1,NO,37,1
TB,TB,0,1,0,1,CAR,14,0
DAL,DAL,0,1,0,1,SF,17,0
DEN,DEN,1,0,0,1,IND,31,1
DET,DET,1,0,0,1,NYG,35,1
ARZ,ARZ,1,0,0,1,SD,18,1
