,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SD,SD,5,3,0,0,DEN,21,0
DET,DET,6,2,0,0,ATL,22,1
MIN,MIN,3,5,0,0,TB,19,1
BUF,BUF,5,3,0,0,NYJ,43,1
CHI,CHI,3,5,0,0,NE,23,0
SEA,SEA,4,3,0,0,CAR,13,1
MIA,MIA,4,3,0,0,JAX,27,1
BAL,BAL,5,3,0,0,CIN,24,0
HOU,HOU,4,4,0,0,TEN,30,1
STL,STL,2,5,0,0,KC,7,0
PHI,PHI,5,2,0,0,ARZ,20,0
IND,IND,5,3,0,0,PIT,34,0
OAK,OAK,0,7,0,0,CLE,13,0
GB,GB,5,3,0,0,NO,23,0
WSH,WSH,3,5,0,0,DAL,20,1
DEN,DEN,6,1,0,1,SD,35,1
ATL,ATL,2,6,0,1,DET,21,0
TB,TB,1,6,0,1,MIN,13,0
NYJ,NYJ,1,7,0,1,BUF,23,0
NE,NE,6,2,0,1,CHI,51,1
CAR,CAR,3,4,1,1,SEA,9,0
JAX,JAX,1,7,0,1,MIA,13,0
CIN,CIN,4,2,1,1,BAL,27,1
TEN,TEN,2,6,0,1,HOU,16,0
KC,KC,4,3,0,1,STL,34,1
ARZ,ARZ,6,1,0,1,PHI,24,1
PIT,PIT,5,3,0,1,IND,51,1
CLE,CLE,4,3,0,1,OAK,23,1
NO,NO,3,4,0,1,GB,44,1
DAL,DAL,6,2,0,1,WSH,17,0
