,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
BUF,BUF,5,5,0,0,MIA,9,0
MIN,MIN,4,6,0,0,CHI,13,0
HOU,HOU,5,5,0,0,CLE,23,1
ATL,ATL,4,6,0,0,CAR,19,1
CIN,CIN,6,3,1,0,NO,27,1
TB,TB,2,8,0,0,WSH,27,1
DEN,DEN,7,3,0,0,STL,7,0
SF,SF,6,4,0,0,NYG,16,1
SEA,SEA,6,4,0,0,KC,20,0
OAK,OAK,0,10,0,0,SD,6,0
DET,DET,7,3,0,0,ARZ,6,0
PHI,PHI,7,3,0,0,GB,20,0
NE,NE,8,2,0,0,IND,42,1
PIT,PIT,7,4,0,0,TEN,27,1
MIA,MIA,6,4,0,1,BUF,22,1
CHI,CHI,4,6,0,1,MIN,21,1
CLE,CLE,6,4,0,1,HOU,7,0
CAR,CAR,3,7,1,1,ATL,17,0
NO,NO,4,6,0,1,CIN,10,0
WSH,WSH,3,7,0,1,TB,7,0
STL,STL,4,6,0,1,DEN,22,1
NYG,NYG,3,7,0,1,SF,10,0
KC,KC,7,3,0,1,SEA,24,1
SD,SD,6,4,0,1,OAK,13,1
ARZ,ARZ,9,1,0,1,DET,14,1
GB,GB,7,3,0,1,PHI,53,1
IND,IND,6,4,0,1,NE,20,0
TEN,TEN,2,8,0,1,PIT,24,0
