,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIN,MIN,2,3,0,0,GB,10,0
CHI,CHI,2,3,0,0,CAR,24,0
CLE,CLE,2,2,0,0,TEN,29,1
STL,STL,1,3,0,0,PHI,28,0
ATL,ATL,2,3,0,0,NYG,20,0
TB,TB,1,4,0,0,NO,31,0
HOU,HOU,3,2,0,0,DAL,17,0
BUF,BUF,3,2,0,0,DET,17,1
BAL,BAL,3,2,0,0,IND,13,0
PIT,PIT,3,2,0,0,JAX,17,1
ARZ,ARZ,3,1,0,0,DEN,20,0
KC,KC,2,3,0,0,SF,17,0
NYJ,NYJ,1,4,0,0,SD,0,0
CIN,CIN,3,1,0,0,NE,17,0
SEA,SEA,3,1,0,0,WSH,27,1
GB,GB,3,2,0,1,MIN,42,1
CAR,CAR,3,2,0,1,CHI,31,1
TEN,TEN,1,4,0,1,CLE,28,0
PHI,PHI,4,1,0,1,STL,34,1
NYG,NYG,3,2,0,1,ATL,30,1
NO,NO,2,3,0,1,TB,37,1
DAL,DAL,4,1,0,1,HOU,20,1
DET,DET,3,2,0,1,BUF,14,0
IND,IND,3,2,0,1,BAL,20,1
JAX,JAX,0,5,0,1,PIT,9,0
DEN,DEN,3,1,0,1,ARZ,41,1
SF,SF,3,2,0,1,KC,22,1
SD,SD,4,1,0,1,NYJ,31,1
NE,NE,3,2,0,1,CIN,43,1
WSH,WSH,1,4,0,1,SEA,17,0
