,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,8,32,52,0.615,258,5.0,9.1,0,1,66.0,4,32,15,0,0,28,9,7,0.8,0,0,24,3,1,1,1.0,28,0,0,0,0.0,0,10,7,331,47.3,25,0,0,0.0,0,0,4,15,3.8,0,6,16,24,49,45,4,4,28,0,0,0,0,0,0,3,5,0,21,16,0,15,2,14,0.14,2,4,0.5,7,1,51,28,3,265,7,0.8,0,258,5.0,9.1,0,0,15,51,19,-1,0,0,1,0
ATL,11,22,29,0.759,246,8.5,11.9,3,0,135.1,2,16,14,0,0,5,37,146,3.9,0,6,4,12,3,3,1.0,43,0,3,3,1.0,0,27,2,52,26.0,20,2,30,15.0,0,24,1,11,11.0,0,11,11,17,47,39,8,3,13,0,0,1,0,0,7,4,7,0,7,24,6,14,7,13,0.54,0,1,0.0,6,4,40,4,30,392,146,3.9,0,246,8.5,11.9,3,30,11,40,11,0,0,0,0,0
CAR,5,20,39,0.513,297,7.6,15.7,0,2,55.2,2,17,12,1,0,11,36,119,3.3,0,6,2,16,5,5,1.0,45,0,1,1,1.0,0,28,3,77,25.7,25,0,0,0.0,0,0,0,0,0.0,0,0,15,23,46,38,8,6,55,1,0,2,2,0,2,2,3,0,10,21,6,12,10,19,0.53,1,1,1.0,3,3,21,15,22,416,119,3.3,0,297,7.6,15.7,0,0,0,21,5,1,1,2,2,0
CHI,27,19,28,0.679,131,4.7,9.8,1,1,75.1,6,55,13,2,2,23,19,79,4.2,1,3,20,5,1,2,0.5,41,0,2,2,1.0,0,16,4,179,44.8,24,7,44,6.3,0,18,2,11,5.5,0,11,14,22,67,47,20,2,17,2,1,2,0,0,6,6,9,0,15,18,3,13,2,8,0.25,0,0,0.0,5,2,40,14,23,210,79,4.2,1,131,4.7,9.8,1,44,11,40,19,-1,2,0,1,2
CLE,28,11,27,0.407,117,4.3,11.7,0,0,54.1,2,12,7,0,0,9,33,133,4.0,1,6,27,1,0,0,0.0,0,0,1,1,1.0,0,22,9,356,39.6,9,2,47,23.5,0,25,2,7,3.5,0,7,2,6,67,37,30,1,6,0,0,1,1,0,3,2,11,0,23,15,6,7,4,15,0.27,1,1,1.0,4,2,35,25,7,250,133,4.0,1,117,4.3,11.7,0,47,7,35,5,1,0,1,0,0
DAL,1,36,62,0.581,415,6.7,12.1,1,4,56.9,4,22,21,0,0,27,17,19,1.1,2,4,14,6,1,1,1.0,51,0,3,3,1.0,0,21,4,165,41.3,8,6,142,23.7,0,44,2,8,4.0,0,14,23,29,52,35,17,1,2,1,0,1,1,0,5,2,2,0,4,28,4,21,7,14,0.5,1,2,0.5,2,3,10,10,24,434,19,1.1,2,415,6.7,12.1,1,142,8,10,28,-4,1,1,4,2
DEN,4,22,30,0.733,305,10.2,13.9,3,0,138.9,0,0,16,0,0,1,41,225,5.5,1,11,7,10,2,2,1.0,33,0,4,4,1.0,0,14,5,232,46.4,21,1,12,12.0,0,12,4,43,10.8,0,22,8,14,40,32,8,1,12,1,0,1,0,0,13,2,6,0,2,29,11,16,5,13,0.38,0,0,0.0,5,2,34,3,34,530,225,5.5,1,305,10.2,13.9,3,12,43,34,11,0,1,0,0,1
DET,2,34,49,0.694,331,6.8,10.4,3,1,100.0,2,21,23,0,0,22,22,84,3.8,1,3,23,4,0,0,0.0,0,0,4,4,1.0,0,17,4,176,44.0,12,1,21,21.0,0,21,1,6,6.0,0,6,16,24,48,39,9,0,0,1,0,1,1,0,3,6,13,0,5,26,3,23,12,16,0.75,0,0,0.0,5,0,61,7,28,415,84,3.8,1,331,6.8,10.4,3,21,6,61,5,1,1,1,1,0
GB,23,22,36,0.611,172,4.8,8.5,2,0,91.4,2,14,9,1,1,24,26,66,2.5,0,5,14,6,1,2,0.5,25,0,3,3,1.0,0,15,5,225,45.0,4,2,57,28.5,0,29,1,0,0.0,0,0,9,15,65,42,23,2,24,0,0,2,1,0,1,1,2,0,12,20,5,9,5,13,0.38,0,1,0.0,5,6,33,10,24,238,66,2.5,0,172,4.8,8.5,2,57,0,33,11,0,0,1,0,1
IND,6,26,38,0.684,286,7.5,11.4,1,1,88.3,2,11,16,1,0,2,34,171,5.0,1,12,12,7,2,3,0.667,44,1,1,1,1.0,0,18,2,87,43.5,22,3,28,9.3,0,19,1,13,13.0,0,13,7,13,56,40,16,2,9,0,0,0,0,0,2,1,1,0,1,30,12,16,6,12,0.5,1,1,1.0,5,2,45,16,19,457,171,5.0,1,286,7.5,11.4,1,28,13,45,19,-1,0,0,1,0
