,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ATL,1,34,52,0.654,408,7.8,12.1,3,1,100.5,1,3,20,0,0,27,18,46,2.6,0,3,8,9,2,2,1.0,37,0,3,3,1.0,0,14,3,140,46.7,28,0,0,0.0,0,0,3,9,3.0,0,5,19,31,57,35,22,1,6,1,0,0,0,0,6,3,4,0,4,25,3,20,8,16,0.5,0,2,0.0,6,2,53,12,27,454,46,2.6,0,408,7.8,12.1,3,0,9,53,12,0,1,0,1,0
BAL,3,21,34,0.618,341,10.0,16.2,3,1,112.5,0,0,15,0,0,19,28,78,2.8,3,4,2,13,2,2,1.0,48,0,7,7,1.0,0,3,4,210,52.5,1,2,123,61.5,1,105,4,36,9.0,0,13,10,20,70,52,18,3,18,1,0,0,2,0,8,2,7,0,10,22,4,15,5,12,0.42,1,1,1.0,4,3,41,1,55,419,78,2.8,3,341,10.0,16.2,3,123,36,41,4,2,1,2,1,0
BUF,5,27,40,0.675,319,8.0,12.5,2,1,97.8,3,18,20,1,1,5,28,162,5.8,2,11,12,7,1,1,1.0,41,0,4,4,1.0,0,7,2,100,50.0,21,2,34,17.0,0,21,0,0,0.0,0,0,25,37,56,38,18,1,7,0,0,0,0,0,3,4,9,0,1,35,11,20,7,11,0.64,1,1,1.0,14,4,148,8,31,481,162,5.8,2,319,8.0,12.5,2,34,0,148,26,-3,0,0,1,2
CAR,18,21,36,0.583,198,5.5,11.5,2,2,69.0,7,43,11,1,0,26,21,52,2.5,0,4,27,2,0,1,0.0,0,0,2,2,1.0,0,6,9,451,50.1,21,2,34,17.0,0,29,3,10,3.3,0,6,24,36,54,38,16,1,6,0,0,3,2,0,2,2,3,0,15,19,4,11,0,12,0.0,0,0,0.0,7,4,45,21,14,250,52,2.5,0,198,5.5,11.5,2,34,10,45,12,0,0,2,2,0
CHI,25,18,33,0.545,134,4.1,7.4,0,2,39.2,0,0,4,0,0,13,23,115,5.0,0,4,18,6,2,3,0.667,51,0,0,0,0.0,0,24,5,194,38.8,20,3,53,17.7,0,20,3,31,10.3,0,24,5,13,54,41,13,1,7,2,0,0,0,0,5,7,20,0,28,8,4,4,2,13,0.15,0,2,0.0,5,0,49,27,6,249,115,5.0,0,134,4.1,7.4,0,53,31,49,21,-2,2,0,2,2
CIN,17,21,30,0.7,199,6.6,9.5,4,0,127.6,0,0,10,0,0,20,28,76,2.7,0,5,12,7,1,1,1.0,28,0,4,4,1.0,0,11,4,193,48.3,26,2,24,12.0,0,24,3,84,28.0,0,68,5,13,69,36,33,4,26,2,0,3,2,0,7,0,0,0,20,15,5,10,6,13,0.46,1,2,0.5,5,0,40,8,31,275,76,2.7,0,199,6.6,9.5,4,24,84,40,2,3,2,2,0,1
DAL,19,19,26,0.731,193,7.4,11.0,2,0,119.6,3,16,8,0,0,15,25,101,4.0,0,5,10,8,1,1,1.0,30,0,5,5,1.0,0,23,7,288,41.1,21,1,17,17.0,0,17,4,97,24.3,1,78,11,23,52,44,8,2,11,1,1,1,1,1,4,1,1,0,21,14,5,8,5,13,0.38,0,0,0.0,13,1,75,2,38,294,101,4.0,0,193,7.4,11.0,2,17,97,75,4,2,1,1,0,0
DEN,9,27,38,0.711,295,7.8,11.1,1,0,102.4,1,6,15,1,1,23,22,65,3.0,1,2,5,10,2,3,0.667,53,0,4,4,1.0,0,12,6,288,48.0,10,2,44,22.0,0,27,8,125,15.6,1,76,8,14,55,41,14,7,43,2,1,2,0,0,5,3,13,1,17,18,2,15,3,13,0.23,0,0,0.0,7,1,60,5,36,360,65,3.0,1,295,7.8,11.1,1,44,125,60,12,0,2,0,0,2
DET,6,28,42,0.667,308,7.3,11.8,3,1,102.1,2,21,19,0,0,24,17,60,3.5,0,2,18,6,1,1,1.0,41,0,3,3,1.0,0,25,6,228,38.0,17,2,36,18.0,0,19,3,48,16.0,0,31,22,34,62,44,18,2,14,0,0,0,0,0,0,5,10,0,7,23,2,19,1,9,0.11,0,0,0.0,6,2,57,14,24,368,60,3.5,0,308,7.3,11.8,3,36,48,57,21,-2,0,0,1,1
HOU,28,14,26,0.538,88,3.4,6.8,1,2,41.8,1,7,6,0,0,11,35,127,3.6,0,6,12,7,2,2,1.0,42,0,1,1,1.0,0,18,8,357,44.6,10,3,66,22.0,0,23,0,0,0.0,0,0,2,6,46,35,11,0,0,2,0,2,2,0,4,2,2,0,24,13,6,6,3,14,0.21,0,0,0.0,3,1,35,22,13,215,127,3.6,0,88,3.4,6.8,1,66,0,35,4,2,2,2,2,0
IND,13,18,26,0.692,221,8.5,12.6,0,1,79.2,2,6,10,1,1,9,37,138,3.7,2,11,8,9,2,2,1.0,41,0,3,3,1.0,0,16,3,135,45.0,13,2,40,20.0,0,24,1,12,12.0,0,12,4,10,42,42,0,4,30,2,1,1,1,0,4,0,0,0,6,24,11,10,3,11,0.27,1,1,1.0,6,3,40,12,27,359,138,3.7,2,221,8.5,12.6,0,40,12,40,9,1,2,1,1,1
