,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,6,31,52,0.596,301,5.8,10.1,0,4,43.8,2,11,16,0,0,28,23,74,3.2,2,6,24,5,1,1,1.0,32,0,2,2,1.0,0,8,6,289,48.2,20,3,68,22.7,0,25,4,59,14.8,0,26,24,31,48,38,10,2,11,1,0,1,0,0,3,2,2,0,6,24,6,16,4,13,0.31,0,2,0.0,7,2,56,23,17,375,74,3.2,2,301,5.8,10.1,0,68,59,56,29,-3,1,0,4,0
ATL,3,26,32,0.813,345,10.8,13.6,1,1,109.0,1,8,13,1,1,27,24,79,3.3,2,6,20,6,1,3,0.333,31,0,3,3,1.0,0,17,1,45,45.0,3,2,73,36.5,0,43,1,10,10.0,0,10,18,23,43,38,5,2,8,0,0,0,0,0,2,5,10,0,15,20,6,13,8,13,0.62,0,0,0.0,2,1,15,12,24,424,79,3.3,2,345,10.8,13.6,1,73,10,15,25,-2,0,0,1,1
BAL,5,30,51,0.588,316,6.2,11.8,1,0,83.5,5,39,19,1,0,12,35,127,3.6,0,5,4,10,3,3,1.0,43,0,1,1,1.0,0,13,8,370,46.3,17,2,46,23.0,0,25,8,66,8.3,0,23,5,13,64,47,17,6,39,0,0,0,0,0,5,1,1,0,3,25,5,19,12,24,0.5,1,2,0.5,6,1,60,25,16,443,127,3.6,0,316,6.2,11.8,1,46,66,60,13,0,0,0,0,0
BUF,27,17,33,0.515,169,5.1,10.6,1,1,63.8,2,11,9,0,0,11,23,135,5.9,0,5,14,7,2,2,1.0,33,0,1,1,1.0,0,20,7,314,44.9,4,1,32,32.0,0,32,2,24,12.0,0,16,13,20,58,42,16,4,15,1,0,2,1,0,6,5,11,0,22,16,5,9,4,13,0.31,0,0,0.0,4,2,46,27,13,304,135,5.9,0,169,5.1,10.6,1,32,24,46,9,1,1,1,1,0
CAR,8,18,28,0.643,289,10.3,17.0,2,0,122.5,2,17,12,0,0,18,35,109,3.1,2,10,20,6,1,1,1.0,23,0,3,4,0.75,0,31,5,188,37.6,19,5,114,22.8,0,35,0,0,0.0,0,0,17,22,46,34,12,1,12,0,0,3,3,0,3,2,6,0,6,24,10,12,6,12,0.5,0,0,0.0,6,2,101,10,30,398,109,3.1,2,289,10.3,17.0,2,114,0,101,3,3,0,3,0,0
CHI,26,23,31,0.742,183,5.9,8.2,1,1,85.8,1,5,13,0,0,16,39,113,2.9,2,7,9,8,2,3,0.667,47,1,2,2,1.0,0,22,4,173,43.3,23,3,65,21.7,0,27,1,6,6.0,0,6,2,10,46,38,8,2,15,1,0,1,2,0,9,0,0,0,8,23,7,13,11,19,0.58,1,1,1.0,5,3,55,11,28,296,113,2.9,2,183,5.9,8.2,1,65,6,55,9,1,1,2,1,1
CIN,22,16,30,0.533,194,6.5,13.1,3,0,106.8,2,16,8,0,0,1,34,221,6.5,1,10,4,10,2,3,0.667,55,0,4,4,1.0,0,26,5,204,40.8,9,1,25,25.0,0,25,5,29,5.8,0,18,2,10,60,31,29,4,27,1,0,1,1,0,6,4,5,0,19,18,10,8,9,17,0.53,0,0,0.0,3,0,25,4,34,415,221,6.5,1,194,6.5,13.1,3,25,29,25,5,2,1,1,0,0
CLE,29,17,26,0.654,130,5.0,9.3,1,1,74.2,4,28,10,0,0,19,34,108,3.2,1,3,9,8,2,2,1.0,32,0,2,2,1.0,0,30,10,383,38.3,31,1,5,5.0,0,5,4,43,10.8,0,16,7,14,49,32,17,1,6,3,0,7,5,0,7,3,6,0,29,14,3,10,3,16,0.19,0,0,0.0,10,1,90,19,20,238,108,3.2,1,130,5.0,9.3,1,5,43,90,1,7,3,5,1,0
DAL,1,37,62,0.597,423,6.8,11.9,3,2,82.9,2,18,20,0,0,32,11,35,3.2,0,1,2,11,3,3,1.0,51,0,2,2,1.0,0,1,3,170,56.7,26,4,76,19.0,0,24,3,17,5.7,0,8,30,38,58,41,17,3,16,1,0,0,0,0,2,1,1,0,11,22,1,20,8,17,0.47,1,1,1.0,7,1,45,6,31,458,35,3.2,0,423,6.8,11.9,3,76,17,45,25,-2,1,0,2,1
DEN,12,22,37,0.595,273,7.4,13.0,2,1,89.1,2,12,16,0,0,24,24,95,4.0,0,4,24,5,1,3,0.333,34,0,2,2,1.0,0,21,4,175,43.8,2,2,92,46.0,0,50,0,0,0.0,0,0,1,9,46,44,2,2,10,1,0,1,0,0,4,1,3,0,14,21,4,16,7,14,0.5,0,0,0.0,4,1,35,23,17,368,95,4.0,0,273,7.4,13.0,2,92,0,35,13,0,1,0,1,0
