,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,4,28,46,0.609,305,6.6,12.0,3,5,62.6,5,32,18,0,0,27,16,50,3.1,0,3,26,3,0,1,0.0,0,0,3,3,1.0,0,12,4,173,43.3,6,6,153,25.5,0,33,3,-1,-0.3,0,5,31,42,49,45,4,1,3,0,0,1,0,0,2,5,12,0,5,23,3,18,3,10,0.3,1,2,0.5,7,2,55,16,21,355,50,3.1,0,305,6.6,12.0,3,153,-1,55,31,-5,0,0,5,0
ATL,6,23,40,0.575,286,7.2,13.0,2,1,86.0,3,12,12,1,0,29,16,37,2.3,0,1,27,2,0,0,0.0,0,0,2,2,1.0,0,5,6,282,47.0,7,3,73,24.3,0,31,2,6,3.0,0,3,25,34,61,54,7,0,0,0,0,1,1,0,5,0,0,0,26,13,1,12,2,12,0.17,2,4,0.5,4,0,40,24,14,323,37,2.3,0,286,7.2,13.0,2,73,6,40,14,0,0,1,1,0
BAL,29,22,30,0.733,145,4.8,7.5,1,3,54.9,4,20,9,1,1,16,32,98,3.1,1,7,27,2,0,0,0.0,0,0,2,2,1.0,0,32,2,35,17.5,3,7,196,28.0,1,94,1,0,0.0,0,0,32,44,51,35,16,0,0,0,0,0,0,0,5,3,5,0,14,19,7,9,6,13,0.46,2,4,0.5,2,3,15,17,20,243,98,3.1,1,145,4.8,7.5,1,196,0,15,31,-5,0,0,3,2
BUF,24,11,23,0.478,165,7.2,15.0,4,0,111.4,0,0,6,0,0,1,40,224,5.6,0,11,12,8,1,2,0.5,51,0,5,5,1.0,0,24,6,223,37.2,25,3,49,16.3,0,38,2,7,3.5,0,6,12,17,53,40,13,5,27,2,0,1,3,1,9,2,7,0,12,20,11,6,4,12,0.33,0,0,0.0,8,3,64,4,38,389,224,5.6,0,165,7.2,15.0,4,49,7,64,3,4,2,3,0,1
CAR,32,16,38,0.421,99,2.6,6.6,0,1,38.7,1,6,6,0,0,27,15,50,3.3,0,3,16,6,2,2,1.0,49,0,0,0,0.0,0,3,5,242,48.4,9,4,93,23.3,0,27,0,0,0.0,0,0,27,37,60,45,15,0,0,0,0,2,1,0,4,7,30,0,29,10,3,6,2,12,0.17,1,3,0.33,5,1,50,32,6,149,50,3.3,0,99,2.6,6.6,0,93,0,50,20,-1,0,1,1,1
CHI,5,29,51,0.569,296,5.8,10.7,1,2,63.8,2,13,14,0,0,25,24,60,2.5,0,5,5,10,3,4,0.75,30,1,1,1,1.0,0,23,6,229,38.2,27,4,60,15.0,0,23,1,16,16.0,0,16,19,24,60,44,16,1,10,0,0,2,1,0,1,4,9,0,8,22,5,14,5,16,0.31,1,1,1.0,9,3,49,22,16,356,60,2.5,0,296,5.8,10.7,1,60,16,49,20,-1,0,1,2,0
CIN,22,21,29,0.724,178,6.1,9.0,0,2,59.3,1,11,8,0,0,3,36,192,5.3,1,9,1,13,4,4,1.0,46,0,1,1,1.0,0,2,3,151,50.3,12,3,67,22.3,0,26,3,1,0.3,0,4,5,10,49,33,16,0,0,1,0,2,1,0,5,5,25,0,16,18,9,8,7,15,0.47,0,0,0.0,4,1,20,18,19,370,192,5.3,1,178,6.1,9.0,0,67,1,20,14,0,1,1,2,0
CLE,21,16,29,0.552,185,6.4,11.6,2,1,83.3,0,0,10,0,0,7,29,152,5.2,1,8,16,6,1,1,1.0,49,0,3,3,1.0,0,8,5,230,46.0,16,3,60,20.0,0,31,2,7,3.5,0,7,14,18,81,57,24,4,18,2,0,2,0,0,6,2,4,0,16,18,8,10,5,12,0.42,1,1,1.0,4,0,29,13,24,337,152,5.2,1,185,6.4,11.6,2,60,7,29,7,1,2,0,1,0
DAL,7,35,44,0.795,281,6.4,8.6,2,0,108.4,3,21,20,1,0,18,16,87,5.4,2,4,23,4,0,1,0.0,0,0,4,4,1.0,0,11,3,132,44.0,5,6,155,25.8,0,60,0,0,0.0,0,0,21,27,62,39,23,1,10,0,0,1,0,0,4,3,7,0,2,25,4,20,4,10,0.4,2,2,1.0,3,1,23,9,28,368,87,5.4,2,281,6.4,8.6,2,155,0,23,20,-1,0,0,0,1
DEN,13,20,27,0.741,238,8.8,12.2,4,0,140.1,1,6,14,0,0,2,34,215,6.3,1,8,4,11,2,2,1.0,37,0,5,5,1.0,0,6,5,232,46.4,14,2,42,21.0,0,23,4,14,3.5,0,9,2,7,40,34,6,5,19,1,0,3,2,0,9,4,6,0,5,23,8,14,2,9,0.22,0,0,0.0,4,1,35,3,41,453,215,6.3,1,238,8.8,12.2,4,42,14,35,5,3,1,2,0,0
