,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,23,14,26,0.538,159,6.1,12.9,0,3,32.9,2,21,7,1,1,14,25,96,3.8,1,3,19,4,1,1,1.0,50,0,1,1,1.0,0,7,7,316,45.1,5,7,199,28.4,0,56,4,21,5.3,0,10,15,25,59,49,10,2,13,0,0,0,0,0,4,1,5,0,26,10,3,7,5,13,0.38,0,0,0.0,11,0,101,22,10,255,96,3.8,1,159,6.1,12.9,0,199,21,101,26,-5,0,0,3,2
ATL,20,18,39,0.462,181,4.6,11.6,0,1,49.2,4,28,12,0,0,12,15,103,6.9,1,2,19,4,1,2,0.5,47,0,1,1,1.0,0,17,7,288,41.1,19,6,105,17.5,0,24,1,7,7.0,0,7,20,31,69,57,12,1,0,2,0,1,1,0,7,3,6,0,19,14,2,12,3,13,0.23,0,1,0.0,3,0,31,22,10,284,103,6.9,1,181,4.6,11.6,0,105,7,31,4,2,2,1,1,0
BAL,21,18,30,0.6,171,5.7,10.2,0,1,61.9,2,13,8,1,1,20,31,77,2.5,1,4,1,16,5,5,1.0,43,0,1,1,1.0,0,2,5,254,50.8,1,1,54,54.0,0,54,0,0,0.0,0,0,1,3,58,46,12,4,11,5,0,1,1,0,11,2,4,0,19,14,4,8,5,15,0.33,0,0,0.0,6,2,40,13,22,248,77,2.5,1,171,5.7,10.2,0,54,0,40,2,4,5,1,1,1
CAR,18,20,33,0.606,193,5.8,10.3,1,0,87.1,2,13,7,0,0,5,30,181,6.0,1,5,2,13,4,5,0.8,45,0,1,1,1.0,0,22,7,268,38.3,22,2,31,15.5,0,21,4,45,11.3,0,23,3,10,47,40,7,2,21,3,0,3,2,0,7,1,2,0,19,14,5,7,6,18,0.33,0,0,0.0,9,2,65,12,25,374,181,6.0,1,193,5.8,10.3,1,31,45,65,1,5,3,2,0,0
CHI,1,26,45,0.578,375,8.3,14.7,3,2,88.7,1,6,14,0,0,18,24,83,3.5,0,5,12,7,1,1,1.0,32,0,4,4,1.0,0,16,6,248,41.3,14,6,120,20.0,0,28,4,108,27.0,1,89,23,34,56,49,7,1,3,0,0,1,0,0,1,7,19,0,10,20,5,14,6,15,0.4,0,1,0.0,4,1,28,5,31,458,83,3.5,0,375,8.3,14.7,3,120,108,28,24,-4,0,0,2,2
CIN,6,26,43,0.605,295,6.9,12.3,2,2,77.2,4,25,16,1,1,19,18,78,4.3,0,2,11,8,2,2,1.0,36,0,2,2,1.0,0,6,6,271,45.2,17,4,75,18.8,0,28,4,14,3.5,0,6,16,27,64,57,7,5,31,0,0,2,2,0,3,10,23,0,8,22,2,16,1,11,0.09,0,1,0.0,6,4,59,14,20,373,78,4.3,0,295,6.9,12.3,2,75,14,59,17,-1,0,2,2,1
CLE,11,18,25,0.72,244,9.8,13.6,3,0,142.3,1,1,14,0,0,8,35,140,4.0,2,9,4,11,2,2,1.0,40,0,5,5,1.0,0,25,2,69,34.5,6,5,141,28.2,0,39,2,19,9.5,0,10,20,31,51,43,8,2,10,2,0,0,0,0,8,1,1,0,5,24,9,14,8,12,0.67,0,0,0.0,5,1,32,2,41,384,140,4.0,2,244,9.8,13.6,3,141,19,32,7,1,2,0,0,1
DAL,19,18,29,0.621,186,6.4,11.1,2,1,89.2,2,13,8,0,0,13,16,99,6.2,0,4,7,9,2,2,1.0,38,0,3,3,1.0,0,1,5,269,53.8,8,7,177,25.3,0,72,0,0,0.0,0,0,26,48,67,47,20,3,15,0,0,3,1,1,1,2,2,0,23,13,4,8,4,11,0.36,0,0,0.0,12,1,100,10,27,285,99,6.2,0,186,6.4,11.1,2,177,0,100,11,0,0,1,1,0
GB,22,19,37,0.514,169,4.6,9.9,0,2,41.4,2,19,6,1,0,24,20,56,2.8,1,4,17,5,1,3,0.333,37,0,2,2,1.0,0,14,8,337,42.1,24,3,43,14.3,0,18,6,7,1.2,0,5,7,14,64,51,13,3,7,1,0,3,2,1,5,5,12,0,23,13,4,6,3,13,0.23,0,0,0.0,4,3,35,15,17,225,56,2.8,1,169,4.6,9.9,0,43,7,35,7,1,1,2,2,0
HOU,4,30,43,0.698,329,7.7,11.4,1,1,90.2,2,12,18,1,1,23,24,61,2.5,0,5,7,9,3,3,1.0,35,0,0,0,0.0,0,8,2,89,44.5,25,6,82,13.7,0,32,0,0,0.0,0,0,24,37,45,44,1,1,8,0,0,2,3,0,1,2,5,0,7,23,5,18,2,10,0.2,2,2,1.0,8,0,58,15,17,390,61,2.5,0,329,7.7,11.4,1,82,0,58,11,0,0,3,1,2
