,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
ARZ,ARZ,5,3,0,0,CHI,41,1
BAL,BAL,4,4,0,0,CIN,7,0
HOU,HOU,5,4,0,0,IND,17,0
KC,KC,1,7,0,0,JAX,21,0
MIA,MIA,3,5,0,0,NE,17,0
WSH,WSH,2,6,0,0,ATL,17,0
GB,GB,4,4,0,0,TB,28,0
DET,DET,1,7,0,0,SEA,20,0
CAR,CAR,3,5,0,0,NO,20,0
SD,SD,5,3,0,0,NYG,21,1
TEN,TEN,2,6,0,0,SF,34,1
DAL,DAL,6,2,0,0,PHI,20,1
PIT,PIT,6,2,0,0,DEN,28,1
CHI,CHI,4,4,0,1,ARZ,21,0
CIN,CIN,6,2,0,1,BAL,17,1
IND,IND,8,0,0,1,HOU,20,1
JAX,JAX,4,4,0,1,KC,24,1
NE,NE,6,2,0,1,MIA,27,1
ATL,ATL,5,3,0,1,WSH,31,1
TB,TB,1,7,0,1,GB,38,1
SEA,SEA,3,5,0,1,DET,32,1
NO,NO,8,0,0,1,CAR,30,1
NYG,NYG,5,4,0,1,SD,20,0
SF,SF,3,5,0,1,TEN,27,0
PHI,PHI,5,3,0,1,DAL,16,0
DEN,DEN,6,2,0,1,PIT,10,0
