,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SD,SD,12,3,0,0,TEN,42,1
BUF,BUF,5,10,0,0,ATL,3,0
BAL,BAL,8,7,0,0,PIT,20,0
TB,TB,3,12,0,0,NO,20,1
JAX,JAX,7,8,0,0,NE,7,0
CAR,CAR,7,8,0,0,NYG,41,1
HOU,HOU,8,7,0,0,MIA,27,1
KC,KC,3,12,0,0,CIN,10,0
OAK,OAK,5,10,0,0,CLE,9,0
SEA,SEA,5,10,0,0,GB,10,0
STL,STL,1,14,0,0,ARZ,10,0
DET,DET,2,13,0,0,SF,6,0
DEN,DEN,8,7,0,0,PHI,27,0
NYJ,NYJ,8,7,0,0,IND,29,1
DAL,DAL,10,5,0,0,WSH,17,1
MIN,MIN,11,4,0,0,CHI,30,0
TEN,TEN,7,8,0,1,SD,17,0
ATL,ATL,8,7,0,1,BUF,31,1
PIT,PIT,8,7,0,1,BAL,23,1
NO,NO,13,2,0,1,TB,17,0
NE,NE,10,5,0,1,JAX,35,1
NYG,NYG,8,7,0,1,CAR,9,0
MIA,MIA,7,8,0,1,HOU,20,0
CIN,CIN,10,5,0,1,KC,17,1
CLE,CLE,4,11,0,1,OAK,23,1
GB,GB,10,5,0,1,SEA,48,1
ARZ,ARZ,10,5,0,1,STL,31,1
SF,SF,7,8,0,1,DET,20,1
PHI,PHI,11,4,0,1,DEN,30,1
IND,IND,14,1,0,1,NYJ,15,0
WSH,WSH,4,11,0,1,DAL,0,0
CHI,CHI,6,9,0,1,MIN,36,1
