,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CIN,CIN,3,1,0,0,CLE,23,1
OAK,OAK,1,3,0,0,HOU,6,0
SEA,SEA,1,3,0,0,IND,17,0
TEN,TEN,0,4,0,0,JAX,17,0
NYG,NYG,4,0,0,0,KC,27,1
TB,TB,0,4,0,0,WSH,13,0
DET,DET,1,3,0,0,CHI,24,0
BAL,BAL,3,1,0,0,NE,21,0
NYJ,NYJ,3,1,0,0,NO,10,0
BUF,BUF,1,3,0,0,MIA,10,0
DAL,DAL,2,2,0,0,DEN,10,0
STL,STL,0,4,0,0,SF,0,0
SD,SD,2,2,0,0,PIT,28,0
GB,GB,2,2,0,0,MIN,23,0
CLE,CLE,0,4,0,1,CIN,20,0
HOU,HOU,2,2,0,1,OAK,29,1
IND,IND,4,0,0,1,SEA,34,1
JAX,JAX,2,2,0,1,TEN,37,1
KC,KC,0,4,0,1,NYG,16,0
WSH,WSH,2,2,0,1,TB,16,1
CHI,CHI,3,1,0,1,DET,48,1
NE,NE,3,1,0,1,BAL,27,1
NO,NO,4,0,0,1,NYJ,24,1
MIA,MIA,1,3,0,1,BUF,38,1
DEN,DEN,4,0,0,1,DAL,17,1
SF,SF,3,1,0,1,STL,35,1
PIT,PIT,2,2,0,1,SD,38,1
MIN,MIN,4,0,0,1,GB,30,1
