,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CHI,CHI,4,5,0,0,SF,6,0
ATL,ATL,5,4,0,0,CAR,19,0
DEN,DEN,6,3,0,0,WSH,17,0
BUF,BUF,3,6,0,0,TEN,17,0
NO,NO,9,0,0,0,STL,28,1
CIN,CIN,7,2,0,0,PIT,18,1
JAX,JAX,5,4,0,0,NYJ,24,1
TB,TB,1,8,0,0,MIA,23,0
DET,DET,1,8,0,0,MIN,10,0
KC,KC,2,7,0,0,OAK,16,1
DAL,DAL,6,3,0,0,GB,7,0
SEA,SEA,3,6,0,0,ARZ,20,0
PHI,PHI,5,4,0,0,SD,23,0
NE,NE,6,3,0,0,IND,34,0
BAL,BAL,5,4,0,0,CLE,16,1
SF,SF,4,5,0,1,CHI,10,1
CAR,CAR,4,5,0,1,ATL,28,1
WSH,WSH,3,6,0,1,DEN,27,1
TEN,TEN,3,6,0,1,BUF,41,1
STL,STL,1,8,0,1,NO,23,0
PIT,PIT,6,3,0,1,CIN,12,0
NYJ,NYJ,4,5,0,1,JAX,22,0
MIA,MIA,4,5,0,1,TB,25,1
MIN,MIN,8,1,0,1,DET,27,1
OAK,OAK,2,7,0,1,KC,10,0
GB,GB,5,4,0,1,DAL,17,1
ARZ,ARZ,6,3,0,1,SEA,31,1
SD,SD,6,3,0,1,PHI,31,1
IND,IND,9,0,0,1,NE,35,1
CLE,CLE,1,8,0,1,BAL,0,0
