,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
HOU,HOU,5,3,0,0,BUF,31,1
CLE,CLE,1,7,0,0,CHI,6,0
SEA,SEA,2,5,0,0,DAL,17,0
STL,STL,1,7,0,0,DET,17,1
DEN,DEN,6,1,0,0,BAL,7,0
SF,SF,3,4,0,0,IND,14,0
NYG,NYG,5,3,0,0,PHI,17,0
MIA,MIA,3,4,0,0,NYJ,30,1
JAX,JAX,3,4,0,0,TEN,13,0
OAK,OAK,2,6,0,0,SD,16,0
CAR,CAR,3,4,0,0,ARZ,34,1
MIN,MIN,7,1,0,0,GB,38,1
ATL,ATL,4,3,0,0,NO,27,0
BUF,BUF,3,5,0,1,HOU,10,0
CHI,CHI,4,3,0,1,CLE,30,1
DAL,DAL,5,2,0,1,SEA,38,1
DET,DET,1,6,0,1,STL,10,0
BAL,BAL,4,3,0,1,DEN,30,1
IND,IND,7,0,0,1,SF,18,1
PHI,PHI,5,2,0,1,NYG,40,1
NYJ,NYJ,4,4,0,1,MIA,25,0
TEN,TEN,1,6,0,1,JAX,30,1
SD,SD,4,3,0,1,OAK,24,1
ARZ,ARZ,4,3,0,1,CAR,21,0
GB,GB,4,3,0,1,MIN,26,0
NO,NO,7,0,0,1,ATL,35,1
