,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
WSH,WSH,1,2,0,0,DET,14,0
JAX,JAX,1,2,0,0,HOU,31,1
SF,SF,2,1,0,0,MIN,24,0
TEN,TEN,0,3,0,0,NYJ,17,0
KC,KC,0,3,0,0,PHI,14,0
GB,GB,2,1,0,0,STL,36,1
NYG,NYG,3,0,0,0,TB,24,1
CLE,CLE,0,3,0,0,BAL,3,0
ATL,ATL,2,1,0,0,NE,10,0
CHI,CHI,2,1,0,0,SEA,25,1
NO,NO,3,0,0,0,BUF,27,1
MIA,MIA,0,3,0,0,SD,13,0
DEN,DEN,3,0,0,0,OAK,23,1
PIT,PIT,1,2,0,0,CIN,20,0
IND,IND,3,0,0,0,ARZ,31,1
CAR,CAR,0,3,0,0,DAL,7,0
DET,DET,1,2,0,1,WSH,19,1
HOU,HOU,1,2,0,1,JAX,24,0
MIN,MIN,3,0,0,1,SF,27,1
NYJ,NYJ,3,0,0,1,TEN,24,1
PHI,PHI,2,1,0,1,KC,34,1
STL,STL,0,3,0,1,GB,17,0
TB,TB,0,3,0,1,NYG,0,0
BAL,BAL,3,0,0,1,CLE,34,1
NE,NE,2,1,0,1,ATL,26,1
SEA,SEA,1,2,0,1,CHI,19,0
BUF,BUF,1,2,0,1,NO,7,0
SD,SD,2,1,0,1,MIA,23,1
OAK,OAK,1,2,0,1,DEN,3,0
CIN,CIN,2,1,0,1,PIT,23,1
ARZ,ARZ,1,2,0,1,IND,10,0
DAL,DAL,2,1,0,1,CAR,21,1
