,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SF,SF,3,3,0,0,HOU,21,0
SD,SD,3,3,0,0,KC,37,1
MIN,MIN,6,1,0,0,PIT,17,0
IND,IND,6,0,0,0,STL,42,1
GB,GB,4,2,0,0,CLE,31,1
NE,NE,5,2,0,0,TB,35,1
BUF,BUF,3,4,0,0,CAR,20,1
NYJ,NYJ,4,3,0,0,OAK,38,1
ATL,ATL,4,2,0,0,DAL,21,0
NO,NO,6,0,0,0,MIA,46,1
CHI,CHI,3,3,0,0,CIN,10,0
ARZ,ARZ,4,2,0,0,NYG,24,1
PHI,PHI,4,2,0,0,WSH,27,1
HOU,HOU,4,3,0,1,SF,24,1
KC,KC,1,6,0,1,SD,7,0
PIT,PIT,5,2,0,1,MIN,27,1
STL,STL,0,7,0,1,IND,6,0
CLE,CLE,1,6,0,1,GB,3,0
TB,TB,0,7,0,1,NE,7,0
CAR,CAR,2,4,0,1,BUF,9,0
OAK,OAK,2,5,0,1,NYJ,0,0
DAL,DAL,4,2,0,1,ATL,37,1
MIA,MIA,2,4,0,1,NO,34,0
CIN,CIN,5,2,0,1,CHI,45,1
NYG,NYG,5,2,0,1,ARZ,17,0
WSH,WSH,2,5,0,1,PHI,17,0
