,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
TEN,TEN,0,1,0,0,PIT,10,0
DET,DET,0,1,0,0,NO,27,0
DAL,DAL,1,0,0,0,TB,34,1
MIN,MIN,1,0,0,0,CLE,34,1
NYJ,NYJ,1,0,0,0,HOU,24,1
JAX,JAX,0,1,0,0,IND,12,0
DEN,DEN,1,0,0,0,CIN,12,1
PHI,PHI,1,0,0,0,CAR,38,1
KC,KC,0,1,0,0,BAL,24,0
MIA,MIA,0,1,0,0,ATL,7,0
SF,SF,1,0,0,0,ARZ,20,1
WSH,WSH,0,1,0,0,NYG,17,0
STL,STL,0,1,0,0,SEA,0,0
CHI,CHI,0,1,0,0,GB,15,0
BUF,BUF,0,1,0,0,NE,24,0
SD,SD,1,0,0,0,OAK,24,1
PIT,PIT,1,0,0,1,TEN,13,1
NO,NO,1,0,0,1,DET,45,1
TB,TB,0,1,0,1,DAL,21,0
CLE,CLE,0,1,0,1,MIN,20,0
HOU,HOU,0,1,0,1,NYJ,7,0
IND,IND,1,0,0,1,JAX,14,1
CIN,CIN,0,1,0,1,DEN,7,0
CAR,CAR,0,1,0,1,PHI,10,0
BAL,BAL,1,0,0,1,KC,38,1
ATL,ATL,1,0,0,1,MIA,19,1
ARZ,ARZ,0,1,0,1,SF,16,0
NYG,NYG,1,0,0,1,WSH,23,1
SEA,SEA,1,0,0,1,STL,28,1
GB,GB,1,0,0,1,CHI,21,1
NE,NE,1,0,0,1,BUF,25,1
OAK,OAK,0,1,0,1,SD,20,0
