,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CIN,CIN,1,1,0,0,GB,31,1
ARZ,ARZ,1,1,0,0,JAX,31,1
OAK,OAK,1,1,0,0,KC,13,1
NE,NE,1,1,0,0,NYJ,9,0
NO,NO,2,0,0,0,PHI,48,1
HOU,HOU,1,1,0,0,TEN,34,1
STL,STL,0,2,0,0,WSH,7,0
CAR,CAR,0,2,0,0,ATL,20,0
MIN,MIN,2,0,0,0,DET,27,1
SEA,SEA,1,1,0,0,SF,10,0
TB,TB,0,2,0,0,BUF,20,0
PIT,PIT,1,1,0,0,CHI,14,0
CLE,CLE,0,2,0,0,DEN,6,0
BAL,BAL,2,0,0,0,SD,31,1
NYG,NYG,2,0,0,0,DAL,33,1
IND,IND,2,0,0,0,MIA,27,1
GB,GB,1,1,0,1,CIN,24,0
JAX,JAX,0,2,0,1,ARZ,17,0
KC,KC,0,2,0,1,OAK,10,0
NYJ,NYJ,2,0,0,1,NE,16,1
PHI,PHI,1,1,0,1,NO,22,0
TEN,TEN,0,2,0,1,HOU,31,0
WSH,WSH,1,1,0,1,STL,9,1
ATL,ATL,2,0,0,1,CAR,28,1
DET,DET,0,2,0,1,MIN,13,0
SF,SF,2,0,0,1,SEA,23,1
BUF,BUF,1,1,0,1,TB,33,1
CHI,CHI,1,1,0,1,PIT,17,1
DEN,DEN,2,0,0,1,CLE,27,1
SD,SD,1,1,0,1,BAL,26,0
DAL,DAL,1,1,0,1,NYG,31,0
MIA,MIA,0,2,0,1,IND,23,0
