,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DEN,DEN,6,8,0,0,HOU,13,0
CIN,CIN,5,9,0,0,SF,13,0
GB,GB,12,2,0,0,STL,33,1
BUF,BUF,7,7,0,0,CLE,0,0
ATL,ATL,3,11,0,0,TB,3,0
SEA,SEA,9,5,0,0,CAR,10,0
JAX,JAX,10,4,0,0,PIT,29,1
TEN,TEN,8,6,0,0,KC,26,1
BAL,BAL,4,10,0,0,MIA,16,0
NYJ,NYJ,3,11,0,0,NE,10,0
ARZ,ARZ,6,8,0,0,NO,24,0
IND,IND,12,2,0,0,OAK,21,1
PHI,PHI,6,8,0,0,DAL,10,1
DET,DET,6,8,0,0,SD,14,0
WSH,WSH,7,7,0,0,NYG,22,1
CHI,CHI,5,9,0,0,MIN,13,0
HOU,HOU,7,7,0,1,DEN,31,1
SF,SF,4,10,0,1,CIN,20,1
STL,STL,3,11,0,1,GB,14,0
CLE,CLE,9,5,0,1,BUF,8,1
TB,TB,9,5,0,1,ATL,37,1
CAR,CAR,6,8,0,1,SEA,13,1
PIT,PIT,9,5,0,1,JAX,22,0
KC,KC,4,10,0,1,TEN,17,0
MIA,MIA,1,13,0,1,BAL,22,1
NE,NE,14,0,0,1,NYJ,20,1
NO,NO,7,7,0,1,ARZ,31,1
OAK,OAK,4,10,0,1,IND,14,0
DAL,DAL,12,2,0,1,PHI,6,0
SD,SD,9,5,0,1,DET,51,1
NYG,NYG,9,5,0,1,WSH,10,0
MIN,MIN,8,6,0,1,CHI,20,1
