,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
JAX,JAX,3,1,0,0,KC,17,1
CLE,CLE,2,3,0,0,NE,17,0
CAR,CAR,3,2,0,0,NO,16,1
NYJ,NYJ,1,4,0,0,NYG,24,0
SEA,SEA,3,2,0,0,PIT,0,0
ATL,ATL,1,4,0,0,TEN,13,0
DET,DET,3,2,0,0,WSH,3,0
MIA,MIA,0,5,0,0,HOU,19,0
ARZ,ARZ,3,2,0,0,STL,34,1
TB,TB,3,2,0,0,IND,14,0
SD,SD,2,3,0,0,DEN,41,1
BAL,BAL,3,2,0,0,SF,9,1
CHI,CHI,2,3,0,0,GB,27,1
DAL,DAL,5,0,0,0,BUF,25,1
KC,KC,2,3,0,1,JAX,7,0
NE,NE,5,0,0,1,CLE,34,1
NO,NO,0,4,0,1,CAR,13,0
NYG,NYG,3,2,0,1,NYJ,35,1
PIT,PIT,4,1,0,1,SEA,21,1
TEN,TEN,3,1,0,1,ATL,20,1
WSH,WSH,3,1,0,1,DET,34,1
HOU,HOU,3,2,0,1,MIA,22,1
STL,STL,0,5,0,1,ARZ,31,0
IND,IND,5,0,0,1,TB,33,1
DEN,DEN,2,3,0,1,SD,3,0
SF,SF,2,3,0,1,BAL,7,0
GB,GB,4,1,0,1,CHI,20,0
BUF,BUF,1,4,0,1,DAL,24,0
