,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NE,NE,16,0,0,0,NYG,38,1
NO,NO,7,9,0,0,CHI,25,0
DET,DET,7,9,0,0,GB,13,0
CIN,CIN,7,9,0,0,MIA,38,1
BUF,BUF,7,9,0,0,PHI,9,0
CAR,CAR,7,9,0,0,TB,31,1
JAX,JAX,11,5,0,0,HOU,28,0
SF,SF,5,11,0,0,CLE,7,0
SEA,SEA,10,6,0,0,ATL,41,0
PIT,PIT,10,6,0,0,BAL,21,0
DAL,DAL,13,3,0,0,WSH,6,0
SD,SD,11,5,0,0,OAK,30,1
KC,KC,4,12,0,0,NYJ,10,0
STL,STL,3,13,0,0,ARZ,19,0
MIN,MIN,8,8,0,0,DEN,19,0
TEN,TEN,10,6,0,0,IND,16,1
NYG,NYG,10,6,0,1,NE,35,0
CHI,CHI,7,9,0,1,NO,33,1
GB,GB,13,3,0,1,DET,34,1
MIA,MIA,1,15,0,1,CIN,25,0
PHI,PHI,8,8,0,1,BUF,17,1
TB,TB,9,7,0,1,CAR,23,0
HOU,HOU,8,8,0,1,JAX,42,1
CLE,CLE,10,6,0,1,SF,20,1
ATL,ATL,4,12,0,1,SEA,44,1
BAL,BAL,5,11,0,1,PIT,27,1
WSH,WSH,9,7,0,1,DAL,27,1
OAK,OAK,4,12,0,1,SD,17,0
NYJ,NYJ,4,12,0,1,KC,13,1
ARZ,ARZ,8,8,0,1,STL,48,1
DEN,DEN,7,9,0,1,MIN,22,1
IND,IND,13,3,0,1,TEN,10,0
