,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
PIT,PIT,10,5,0,0,STL,41,1
DAL,DAL,13,2,0,0,CAR,20,1
PHI,PHI,7,8,0,0,NO,38,1
NYG,NYG,10,5,0,0,BUF,38,1
GB,GB,12,3,0,0,CHI,7,0
CLE,CLE,9,6,0,0,CIN,14,0
KC,KC,4,11,0,0,DET,20,0
HOU,HOU,7,8,0,0,IND,15,0
OAK,OAK,4,11,0,0,JAX,11,0
TB,TB,9,6,0,0,SF,19,0
ATL,ATL,3,12,0,0,ARZ,27,0
BAL,BAL,4,11,0,0,SEA,6,0
NYJ,NYJ,3,12,0,0,TEN,6,0
MIA,MIA,1,14,0,0,NE,7,0
WSH,WSH,8,7,0,0,MIN,32,1
DEN,DEN,6,9,0,0,SD,3,0
STL,STL,3,12,0,1,PIT,24,0
CAR,CAR,6,9,0,1,DAL,13,0
NO,NO,7,8,0,1,PHI,23,0
BUF,BUF,7,8,0,1,NYG,21,0
CHI,CHI,6,9,0,1,GB,35,1
CIN,CIN,6,9,0,1,CLE,19,1
DET,DET,7,8,0,1,KC,25,1
IND,IND,13,2,0,1,HOU,38,1
JAX,JAX,11,4,0,1,OAK,49,1
SF,SF,5,10,0,1,TB,21,1
ARZ,ARZ,7,8,0,1,ATL,30,1
SEA,SEA,10,5,0,1,BAL,27,1
TEN,TEN,9,6,0,1,NYJ,10,1
NE,NE,15,0,0,1,MIA,28,1
MIN,MIN,8,7,0,1,WSH,21,0
SD,SD,10,5,0,1,DEN,23,1
