,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NO,NO,0,1,0,0,IND,10,0
KC,KC,0,1,0,0,HOU,3,0
ATL,ATL,0,1,0,0,MIN,3,0
NE,NE,1,0,0,0,NYJ,38,1
CAR,CAR,1,0,0,0,STL,27,1
MIA,MIA,0,1,0,0,WSH,13,0
PHI,PHI,0,1,0,0,GB,13,0
PIT,PIT,1,0,0,0,CLE,34,1
DEN,DEN,1,0,0,0,BUF,15,1
TEN,TEN,1,0,0,0,JAX,13,1
TB,TB,0,1,0,0,SEA,6,0
CHI,CHI,0,1,0,0,SD,3,0
DET,DET,1,0,0,0,OAK,36,1
NYG,NYG,0,1,0,0,DAL,35,0
BAL,BAL,0,1,0,0,CIN,20,0
ARZ,ARZ,0,1,0,0,SF,17,0
IND,IND,1,0,0,1,NO,41,1
HOU,HOU,1,0,0,1,KC,20,1
MIN,MIN,1,0,0,1,ATL,24,1
NYJ,NYJ,0,1,0,1,NE,14,0
STL,STL,0,1,0,1,CAR,13,0
WSH,WSH,1,0,0,1,MIA,16,1
GB,GB,1,0,0,1,PHI,16,1
CLE,CLE,0,1,0,1,PIT,7,0
BUF,BUF,0,1,0,1,DEN,14,0
JAX,JAX,0,1,0,1,TEN,10,0
SEA,SEA,1,0,0,1,TB,20,1
SD,SD,1,0,0,1,CHI,14,1
OAK,OAK,0,1,0,1,DET,21,0
DAL,DAL,1,0,0,1,NYG,45,1
CIN,CIN,1,0,0,1,BAL,27,1
SF,SF,1,0,0,1,ARZ,20,1
