,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CHI,CHI,5,8,0,0,WSH,16,0
STL,STL,3,10,0,0,CIN,10,0
DAL,DAL,12,1,0,0,DET,28,1
OAK,OAK,4,9,0,0,GB,7,0
MIA,MIA,0,13,0,0,BUF,17,0
TB,TB,8,5,0,0,HOU,14,0
SD,SD,8,5,0,0,TEN,23,1
CAR,CAR,5,8,0,0,JAX,6,0
NYG,NYG,9,4,0,0,PHI,16,1
ARZ,ARZ,6,7,0,0,SEA,21,0
MIN,MIN,7,6,0,0,SF,27,1
PIT,PIT,9,4,0,0,NE,13,0
CLE,CLE,8,5,0,0,NYJ,24,1
KC,KC,4,9,0,0,DEN,7,0
IND,IND,11,2,0,0,BAL,44,1
NO,NO,6,7,0,0,ATL,34,1
WSH,WSH,6,7,0,1,CHI,24,1
CIN,CIN,5,8,0,1,STL,19,1
DET,DET,6,7,0,1,DAL,27,0
GB,GB,11,2,0,1,OAK,38,1
BUF,BUF,7,6,0,1,MIA,38,1
HOU,HOU,6,7,0,1,TB,28,1
TEN,TEN,7,6,0,1,SD,17,0
JAX,JAX,9,4,0,1,CAR,37,1
PHI,PHI,5,8,0,1,NYG,13,0
SEA,SEA,9,4,0,1,ARZ,42,1
SF,SF,3,10,0,1,MIN,7,0
NE,NE,13,0,0,1,PIT,34,1
NYJ,NYJ,3,10,0,1,CLE,18,0
DEN,DEN,6,7,0,1,KC,41,1
BAL,BAL,4,9,0,1,IND,20,0
ATL,ATL,3,10,0,1,NO,14,0
