,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIN,MIN,3,6,0,0,GB,0,0
DEN,DEN,4,5,0,0,KC,27,1
BUF,BUF,5,4,0,0,MIA,13,1
STL,STL,1,8,0,0,NO,37,1
CLE,CLE,5,4,0,0,PIT,28,0
PHI,PHI,4,5,0,0,WSH,33,1
ATL,ATL,3,6,0,0,CAR,20,1
JAX,JAX,6,3,0,0,TEN,28,1
CIN,CIN,3,6,0,0,BAL,21,1
DET,DET,6,3,0,0,ARZ,21,0
DAL,DAL,8,1,0,0,NYG,31,1
CHI,CHI,4,5,0,0,OAK,17,1
IND,IND,7,2,0,0,SD,21,0
SF,SF,2,7,0,0,SEA,0,0
GB,GB,8,1,0,1,MIN,34,1
KC,KC,4,5,0,1,DEN,11,0
MIA,MIA,0,9,0,1,BUF,10,0
NO,NO,4,5,0,1,STL,29,0
PIT,PIT,7,2,0,1,CLE,31,1
WSH,WSH,5,4,0,1,PHI,25,0
CAR,CAR,4,5,0,1,ATL,13,0
TEN,TEN,6,3,0,1,JAX,13,0
BAL,BAL,4,5,0,1,CIN,7,0
ARZ,ARZ,4,5,0,1,DET,31,1
NYG,NYG,6,3,0,1,DAL,20,0
OAK,OAK,2,7,0,1,CHI,6,0
SD,SD,5,4,0,1,IND,23,1
SEA,SEA,5,4,0,1,SF,24,1
