,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,1,28,46,0.609,339,7.4,12.8,3,1,96.2,2,19,13,1,1,17,20,95,4.8,0,4,17,6,1,1,1.0,38,0,3,3,1.0,0,19,4,163,40.8,3,6,152,25.3,0,37,3,18,6.0,0,14,31,42,39,35,4,0,0,0,0,0,0,0,4,5,6,0,4,21,4,13,9,15,0.6,0,1,0.0,12,4,80,12,24,434,95,4.8,0,339,7.4,12.8,3,152,18,80,28,-3,0,0,1,2
ATL,15,16,27,0.593,220,8.1,14.3,2,1,94.7,2,8,10,1,0,14,30,98,3.3,1,6,9,9,2,2,1.0,37,0,3,3,1.0,0,13,5,213,42.6,9,3,70,23.3,0,24,5,34,6.8,0,15,8,13,40,34,6,3,14,1,0,1,1,0,6,4,6,0,15,17,6,10,4,11,0.36,0,0,0.0,4,1,31,7,27,318,98,3.3,1,220,8.1,14.3,2,70,34,31,8,1,1,1,1,0
BAL,25,22,43,0.512,143,3.3,6.9,1,1,56.6,2,9,9,1,0,19,23,88,3.8,1,4,28,1,0,0,0.0,0,0,1,1,1.0,0,26,6,226,37.7,10,5,116,23.2,0,29,4,22,5.5,0,14,30,34,73,45,28,2,9,0,0,1,1,0,5,8,33,0,15,17,4,9,5,16,0.31,1,2,0.5,10,4,81,21,15,231,88,3.8,1,143,3.3,6.9,1,116,22,81,19,-1,0,1,1,1
BUF,16,17,28,0.607,215,7.7,13.5,1,1,81.7,2,15,12,0,0,12,33,107,3.2,2,7,14,7,1,1,1.0,44,0,4,4,1.0,0,1,4,226,56.5,21,1,20,20.0,0,20,4,3,0.8,0,8,1,0,54,36,18,2,20,4,1,0,0,0,11,3,7,0,1,23,7,12,7,14,0.5,0,1,0.0,10,4,119,4,31,322,107,3.2,2,215,7.7,13.5,1,20,3,119,6,2,4,0,1,1
CAR,28,16,30,0.533,120,4.0,8.8,3,2,68.8,5,21,9,1,0,10,26,122,4.7,0,7,23,4,1,1,1.0,49,0,1,1,1.0,0,20,7,285,40.7,2,4,108,27.0,0,43,6,102,17.0,0,36,18,23,58,47,11,4,16,0,0,0,1,0,0,3,8,1,15,17,7,9,4,14,0.29,1,1,1.0,9,1,83,12,24,242,122,4.7,0,120,4.0,8.8,3,108,102,83,19,-1,0,1,2,0
CHI,32,14,34,0.412,72,2.1,6.8,1,3,21.9,5,23,4,1,1,29,20,55,2.8,0,3,28,1,0,0,0.0,0,0,1,1,1.0,0,30,8,283,35.4,24,9,170,18.9,0,24,2,9,4.5,0,10,32,49,78,58,20,0,0,1,0,2,1,0,7,3,3,0,32,8,3,4,3,14,0.21,0,1,0.0,4,1,30,29,7,127,55,2.8,0,72,2.1,6.8,1,170,9,30,28,-3,1,1,3,2
CIN,11,20,37,0.541,243,6.6,13.2,1,2,61.0,4,21,12,1,1,30,22,51,2.3,0,1,23,4,1,1,1.0,26,0,1,1,1.0,0,21,4,161,40.3,22,7,135,19.3,0,24,2,3,1.5,0,6,27,30,60,42,18,1,6,3,0,0,0,0,7,1,1,0,25,15,1,12,3,12,0.25,0,3,0.0,4,2,25,26,10,294,51,2.3,0,243,6.6,13.2,1,135,3,25,19,-1,3,0,2,2
CLE,22,20,29,0.69,182,6.3,9.1,0,2,57.0,0,0,9,0,0,14,26,98,3.8,0,6,17,6,2,2,1.0,20,0,0,0,0.0,0,14,3,127,42.3,32,3,36,12.0,0,20,1,2,2.0,0,2,5,9,51,43,8,1,7,2,0,2,0,0,6,1,1,0,12,18,6,9,4,11,0.36,0,0,0.0,9,3,64,30,6,280,98,3.8,0,182,6.3,9.1,0,36,2,64,15,0,2,0,2,0
DAL,8,15,32,0.469,254,7.9,17.9,1,1,71.6,3,14,9,0,0,6,24,149,6.2,1,7,28,1,0,1,0.0,0,0,1,2,0.5,1,9,6,261,43.5,23,5,95,19.0,0,25,1,0,0.0,0,0,24,27,51,33,18,2,8,1,0,1,0,0,4,1,2,0,21,16,7,9,5,13,0.38,0,1,0.0,7,0,49,23,13,403,149,6.2,1,254,7.9,17.9,1,95,0,49,19,-1,1,0,1,1
DEN,30,12,25,0.48,109,4.4,9.6,0,3,20.7,1,6,5,0,0,1,40,184,4.6,2,14,4,12,3,3,1.0,51,0,3,3,1.0,0,3,5,235,47.0,4,3,75,25.0,0,34,3,26,8.7,0,12,6,10,48,42,6,4,21,2,1,3,2,0,10,3,8,0,9,19,14,5,6,14,0.43,0,0,0.0,5,0,58,5,30,293,184,4.6,2,109,4.4,9.6,0,75,26,58,8,1,2,2,3,0
