,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,24,14,25,0.56,146,5.8,12.3,0,1,56.4,5,26,9,1,0,7,39,171,4.4,2,13,25,5,1,2,0.5,44,0,2,2,1.0,0,27,4,151,37.8,14,4,84,21.0,0,35,1,17,17.0,0,17,14,20,42,36,6,1,5,1,0,1,1,0,5,1,2,0,7,23,13,9,8,15,0.53,0,0,0.0,5,1,50,20,17,317,171,4.4,2,146,5.8,12.3,0,84,17,50,11,0,1,1,1,1
ATL,32,9,25,0.36,29,1.2,7.3,0,1,27.9,4,37,4,1,1,17,26,125,4.8,1,7,29,1,0,0,0.0,0,0,1,1,1.0,0,21,7,284,40.6,14,7,147,21.0,0,27,3,24,8.0,0,12,27,38,68,54,14,2,12,0,0,2,2,0,1,2,7,0,29,12,7,4,1,11,0.09,1,2,0.5,6,1,80,27,7,154,125,4.8,1,29,1.2,7.3,0,147,24,80,11,0,0,2,1,1
BAL,21,12,27,0.444,170,6.3,16.1,1,1,62.3,3,23,8,1,0,11,31,149,4.8,0,6,23,6,2,3,0.667,32,0,0,0,0.0,0,24,6,240,40.0,8,4,93,23.3,0,28,4,36,9.0,0,28,14,20,49,42,7,0,0,0,0,0,0,0,8,1,2,0,27,14,6,8,2,12,0.17,0,1,0.0,8,0,55,25,12,319,149,4.8,0,170,6.3,16.1,1,93,36,55,29,-3,0,0,1,2
BUF,23,17,30,0.567,152,5.1,9.9,2,0,92.6,3,16,8,1,1,22,20,89,4.5,0,4,11,8,2,2,1.0,32,0,2,2,1.0,0,7,7,307,43.9,26,5,76,15.2,0,25,3,50,16.7,0,35,25,28,72,57,15,4,32,0,0,2,1,1,3,4,9,0,28,13,4,8,2,12,0.17,1,1,1.0,3,1,15,13,26,241,89,4.5,0,152,5.1,9.9,2,76,50,15,11,0,0,1,0,1
CAR,12,20,32,0.625,231,7.2,11.8,1,1,81.6,1,5,12,1,1,31,18,67,3.7,0,4,11,8,2,2,1.0,49,0,2,2,1.0,0,13,4,170,42.5,9,2,46,23.0,0,25,1,21,21.0,0,21,12,17,67,56,11,5,26,1,1,2,1,0,4,7,19,0,18,17,4,12,3,8,0.38,0,0,0.0,4,1,35,17,20,298,67,3.7,0,231,7.2,11.8,1,46,21,35,11,0,1,1,1,1
CHI,25,13,30,0.433,145,4.8,12.1,0,0,58.3,1,12,8,0,0,24,23,87,3.8,1,5,20,7,2,3,0.667,38,0,1,1,1.0,0,15,5,212,42.4,27,3,43,14.3,0,19,2,20,10.0,0,14,7,10,73,63,10,2,7,1,0,0,0,0,4,3,6,0,24,15,5,8,6,14,0.43,0,0,0.0,3,2,30,23,13,232,87,3.8,1,145,4.8,12.1,0,43,20,30,6,1,1,0,0,0
CIN,22,18,25,0.72,168,6.7,10.5,2,0,116.8,2,21,12,0,0,1,37,225,6.1,2,9,1,11,2,2,1.0,34,0,5,5,1.0,0,8,2,87,43.5,19,5,102,20.4,0,26,1,12,12.0,0,12,27,38,55,41,14,1,13,0,0,3,3,1,1,3,8,0,7,23,9,12,7,13,0.54,2,2,1.0,4,2,40,3,41,393,225,6.1,2,168,6.7,10.5,2,102,12,40,2,3,0,3,0,0
CLE,20,8,21,0.381,173,8.2,22.6,2,1,80.1,2,8,6,0,0,20,26,102,3.9,0,4,11,8,2,3,0.667,48,0,2,2,1.0,0,3,4,208,52.0,21,4,80,20.0,0,30,4,51,12.8,0,38,19,23,72,55,17,3,17,1,0,0,0,0,4,5,11,0,29,12,4,6,2,11,0.18,1,2,0.5,7,2,32,17,20,275,102,3.9,0,173,8.2,22.6,2,80,51,32,11,0,1,0,1,0
DAL,29,10,24,0.417,104,4.3,10.8,1,0,68.8,3,4,5,2,1,2,45,222,4.9,2,11,5,9,2,3,0.667,34,0,3,3,1.0,0,19,6,246,41.0,31,1,11,11.0,0,11,3,12,4.0,0,7,1,0,40,29,11,1,4,4,0,1,2,0,12,1,1,0,21,16,11,5,7,18,0.39,0,1,0.0,2,0,10,9,27,326,222,4.9,2,104,4.3,10.8,1,11,12,10,1,5,4,2,0,1
DEN,10,22,36,0.611,252,7.0,12.2,0,1,70.6,3,17,13,1,0,9,40,165,4.1,2,12,1,11,3,3,1.0,51,0,2,2,1.0,0,17,5,208,41.6,10,2,45,22.5,0,24,2,32,16.0,0,26,14,20,40,28,12,2,8,1,0,0,0,0,8,3,5,0,2,28,12,13,8,15,0.53,0,0,0.0,11,3,124,14,23,417,165,4.1,2,252,7.0,12.2,0,45,32,124,11,0,1,0,1,0
