,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SF,SF,1,0,0,0,NYG,16,1
ARZ,ARZ,0,1,0,0,WSH,23,0
MIN,MIN,0,1,0,0,CHI,23,0
KC,KC,1,0,0,0,CLE,40,1
IND,IND,1,0,0,0,JAX,28,1
DET,DET,0,1,0,0,MIA,21,0
NYJ,NYJ,1,0,0,0,BUF,37,1
ATL,ATL,0,1,0,0,GB,34,0
PHI,PHI,0,1,0,0,TEN,24,0
BAL,BAL,0,1,0,0,CAR,7,0
SD,SD,1,0,0,0,CIN,34,1
STL,STL,0,1,0,0,DEN,16,0
NO,NO,1,0,0,0,TB,26,1
SEA,SEA,0,1,0,0,OAK,17,0
DAL,DAL,0,1,0,0,HOU,10,0
PIT,PIT,0,1,0,0,NE,14,0
NYG,NYG,0,1,0,1,SF,13,0
WSH,WSH,1,0,0,1,ARZ,31,1
CHI,CHI,1,0,0,1,MIN,27,1
CLE,CLE,0,1,0,1,KC,39,0
JAX,JAX,0,1,0,1,IND,25,0
MIA,MIA,1,0,0,1,DET,49,1
BUF,BUF,0,1,0,1,NYJ,31,0
GB,GB,1,0,0,1,ATL,37,1
TEN,TEN,1,0,0,1,PHI,27,1
CAR,CAR,1,0,0,1,BAL,10,1
CIN,CIN,0,1,0,1,SD,6,0
DEN,DEN,1,0,0,1,STL,23,1
TB,TB,0,1,0,1,NO,20,0
OAK,OAK,1,0,0,1,SEA,31,1
HOU,HOU,1,0,0,1,DAL,19,1
NE,NE,1,0,0,1,PIT,30,1
