,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIA,MIA,9,6,0,0,MIN,17,0
SF,SF,10,5,0,0,ARZ,17,1
PHI,PHI,12,3,0,0,DAL,27,1
NYG,NYG,9,6,0,0,IND,44,1
CHI,CHI,4,11,0,0,CAR,14,0
HOU,HOU,4,11,0,0,WSH,10,0
DET,DET,3,12,0,0,ATL,15,0
BUF,BUF,7,8,0,0,GB,0,0
SD,SD,8,7,0,0,KC,22,0
NO,NO,9,6,0,0,CIN,13,0
TEN,TEN,10,5,0,0,JAX,28,1
STL,STL,6,9,0,0,SEA,10,0
CLE,CLE,8,7,0,0,BAL,14,1
DEN,DEN,8,7,0,0,OAK,16,0
NYJ,NYJ,8,7,0,0,NE,30,1
PIT,PIT,9,5,1,0,TB,17,1
MIN,MIN,5,10,0,1,MIA,20,1
ARZ,ARZ,5,10,0,1,SF,14,0
DAL,DAL,5,10,0,1,PHI,3,0
IND,IND,9,6,0,1,NYG,27,0
CAR,CAR,6,9,0,1,CHI,24,1
WSH,WSH,6,9,0,1,HOU,26,1
ATL,ATL,9,5,1,1,DET,36,1
GB,GB,12,3,0,1,BUF,10,1
KC,KC,8,7,0,1,SD,24,1
CIN,CIN,2,13,0,1,NO,20,1
JAX,JAX,6,9,0,1,TEN,10,0
SEA,SEA,6,9,0,1,STL,30,1
BAL,BAL,7,8,0,1,CLE,13,0
OAK,OAK,10,5,0,1,DEN,28,1
NE,NE,8,7,0,1,NYJ,17,0
TB,TB,11,4,0,1,PIT,7,0
