,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NO,NO,5,1,0,0,WSH,43,1
BAL,BAL,2,3,0,0,IND,20,0
PIT,PIT,2,3,0,0,CIN,34,1
BUF,BUF,3,3,0,0,HOU,31,1
CLE,CLE,2,4,0,0,TB,3,0
ATL,ATL,2,3,0,0,NYG,17,1
CAR,CAR,3,3,0,0,DAL,13,0
GB,GB,5,1,0,0,NE,28,1
DET,DET,1,4,0,0,MIN,24,0
JAX,JAX,3,2,0,0,TEN,14,0
OAK,OAK,4,1,0,0,STL,13,0
KC,KC,3,3,0,0,SD,34,0
MIA,MIA,5,1,0,0,DEN,24,1
SF,SF,4,1,0,0,SEA,28,1
WSH,WSH,2,3,0,1,NO,27,0
IND,IND,4,1,0,1,BAL,22,1
CIN,CIN,0,6,0,1,PIT,7,0
HOU,HOU,1,4,0,1,BUF,24,0
TB,TB,5,1,0,1,CLE,17,1
NYG,NYG,3,3,0,1,ATL,10,0
DAL,DAL,3,3,0,1,CAR,14,1
NE,NE,3,3,0,1,GB,10,0
MIN,MIN,1,4,0,1,DET,31,1
TEN,TEN,2,4,0,1,JAX,23,1
STL,STL,1,5,0,1,OAK,28,1
SD,SD,5,1,0,1,KC,35,1
DEN,DEN,4,2,0,1,MIA,22,0
SEA,SEA,1,4,0,1,SF,21,0
