,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
WSH,WSH,4,6,0,0,NYG,17,0
BUF,BUF,5,5,0,0,KC,16,0
PIT,PIT,5,4,1,0,TEN,23,0
DAL,DAL,3,7,0,0,IND,3,0
NO,NO,7,3,0,0,ATL,17,0
JAX,JAX,5,5,0,0,HOU,24,1
GB,GB,8,2,0,0,MIN,21,0
ARZ,ARZ,4,6,0,0,PHI,14,0
CLE,CLE,5,5,0,0,CIN,27,1
SF,SF,7,3,0,0,SD,17,0
CAR,CAR,3,7,0,0,TB,10,0
NYJ,NYJ,5,5,0,0,DET,31,1
DEN,DEN,7,3,0,0,SEA,31,1
BAL,BAL,4,6,0,0,MIA,7,0
NE,NE,5,5,0,0,OAK,20,0
CHI,CHI,2,8,0,0,STL,16,0
NYG,NYG,6,4,0,1,WSH,19,1
KC,KC,5,5,0,1,BUF,17,1
TEN,TEN,6,4,0,1,PIT,31,1
IND,IND,6,4,0,1,DAL,20,1
ATL,ATL,6,3,1,1,NO,24,1
HOU,HOU,2,8,0,1,JAX,21,0
MIN,MIN,3,7,0,1,GB,31,1
PHI,PHI,7,3,0,1,ARZ,38,1
CIN,CIN,1,9,0,1,CLE,20,0
SD,SD,7,3,0,1,SF,20,1
TB,TB,8,2,0,1,CAR,23,1
DET,DET,3,7,0,1,NYJ,14,0
SEA,SEA,3,7,0,1,DEN,9,0
MIA,MIA,6,4,0,1,BAL,26,1
OAK,OAK,6,4,0,1,NE,27,1
STL,STL,5,5,0,1,CHI,21,1
