,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CAR,CAR,5,9,0,0,PIT,14,0
TB,TB,11,3,0,0,DET,23,1
IND,IND,9,5,0,0,CLE,28,1
WSH,WSH,5,9,0,0,PHI,21,0
JAX,JAX,6,8,0,0,CIN,29,1
BAL,BAL,7,7,0,0,HOU,23,1
SEA,SEA,5,9,0,0,ATL,30,1
SD,SD,8,6,0,0,BUF,13,0
OAK,OAK,9,5,0,0,MIA,17,0
NYJ,NYJ,7,7,0,0,CHI,13,0
MIN,MIN,4,10,0,0,NO,32,1
KC,KC,7,7,0,0,DEN,24,0
DAL,DAL,5,9,0,0,NYG,7,0
GB,GB,11,3,0,0,SF,20,1
ARZ,ARZ,5,9,0,0,STL,28,0
NE,NE,8,6,0,0,TEN,7,0
PIT,PIT,8,5,1,1,CAR,30,1
DET,DET,3,11,0,1,TB,20,0
CLE,CLE,7,7,0,1,IND,23,0
PHI,PHI,11,3,0,1,WSH,34,1
CIN,CIN,1,13,0,1,JAX,15,0
HOU,HOU,4,10,0,1,BAL,19,0
ATL,ATL,8,5,1,1,SEA,24,0
BUF,BUF,7,7,0,1,SD,20,1
MIA,MIA,9,5,0,1,OAK,23,1
CHI,CHI,4,10,0,1,NYJ,20,1
NO,NO,9,5,0,1,MIN,31,0
DEN,DEN,8,6,0,1,KC,31,1
NYG,NYG,8,6,0,1,DAL,37,1
SF,SF,9,5,0,1,GB,14,0
STL,STL,6,8,0,1,ARZ,30,1
TEN,TEN,9,5,0,1,NE,24,1
