,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
PHI,PHI,12,4,0,0,NYG,7,0
KC,KC,8,8,0,0,OAK,0,0
ATL,ATL,9,6,1,0,CLE,16,0
CAR,CAR,7,9,0,0,NO,10,1
TEN,TEN,11,5,0,0,HOU,13,1
BAL,BAL,7,9,0,0,PIT,31,0
MIN,MIN,6,10,0,0,DET,38,1
MIA,MIA,9,7,0,0,NE,24,0
DAL,DAL,5,11,0,0,WSH,14,0
CIN,CIN,2,14,0,0,BUF,9,0
JAX,JAX,6,10,0,0,IND,13,0
SEA,SEA,7,9,0,0,SD,31,1
GB,GB,12,4,0,0,NYJ,17,0
ARZ,ARZ,5,11,0,0,DEN,7,0
TB,TB,12,4,0,0,CHI,15,1
SF,SF,10,6,0,0,STL,20,0
NYG,NYG,10,6,0,1,PHI,10,1
OAK,OAK,11,5,0,1,KC,24,1
CLE,CLE,9,7,0,1,ATL,24,1
NO,NO,9,7,0,1,CAR,6,0
HOU,HOU,4,12,0,1,TEN,3,0
PIT,PIT,10,5,1,1,BAL,34,1
DET,DET,3,13,0,1,MIN,36,0
NE,NE,9,7,0,1,MIA,27,1
WSH,WSH,7,9,0,1,DAL,20,1
BUF,BUF,8,8,0,1,CIN,27,1
IND,IND,10,6,0,1,JAX,20,1
SD,SD,8,8,0,1,SEA,28,0
NYJ,NYJ,9,7,0,1,GB,42,1
DEN,DEN,9,7,0,1,ARZ,37,1
CHI,CHI,4,12,0,1,TB,0,0
STL,STL,7,9,0,1,SF,31,1
