,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NE,NE,7,5,0,0,DET,20,1
WSH,WSH,5,7,0,0,DAL,20,0
BAL,BAL,6,6,0,0,CIN,27,1
CHI,CHI,3,9,0,0,GB,20,0
CAR,CAR,4,8,0,0,CLE,13,1
MIA,MIA,7,5,0,0,BUF,21,0
ARZ,ARZ,4,8,0,0,KC,0,0
PIT,PIT,7,4,1,0,JAX,25,1
ATL,ATL,8,3,1,0,MIN,30,1
TEN,TEN,7,5,0,0,NYG,32,1
DEN,DEN,7,5,0,0,SD,27,0
HOU,HOU,3,9,0,0,IND,3,0
SEA,SEA,4,8,0,0,SF,24,0
STL,STL,5,7,0,0,PHI,3,0
TB,TB,9,3,0,0,NO,20,0
NYJ,NYJ,6,6,0,0,OAK,20,0
DET,DET,3,9,0,1,NE,12,0
DAL,DAL,5,7,0,1,WSH,27,1
CIN,CIN,1,11,0,1,BAL,23,0
GB,GB,9,3,0,1,CHI,30,1
CLE,CLE,6,6,0,1,CAR,6,0
BUF,BUF,6,6,0,1,MIA,38,1
KC,KC,6,6,0,1,ARZ,49,1
JAX,JAX,5,7,0,1,PIT,23,0
MIN,MIN,3,9,0,1,ATL,24,0
NYG,NYG,6,6,0,1,TEN,29,0
SD,SD,8,4,0,1,DEN,30,1
IND,IND,8,4,0,1,HOU,19,1
SF,SF,8,4,0,1,SEA,31,1
PHI,PHI,9,3,0,1,STL,10,1
NO,NO,8,4,0,1,TB,23,1
OAK,OAK,8,4,0,1,NYJ,26,1
