,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
IND,IND,2,1,0,0,HOU,23,1
CLE,CLE,2,1,0,0,TEN,31,1
KC,KC,1,2,0,0,NE,38,0
NYJ,NYJ,1,2,0,0,MIA,3,0
NO,NO,3,0,0,0,CHI,29,1
CAR,CAR,3,0,0,0,MIN,21,1
DAL,DAL,1,2,0,0,PHI,13,0
SD,SD,3,0,0,0,ARZ,23,1
BUF,BUF,1,2,0,0,DEN,23,0
GB,GB,2,1,0,0,DET,37,1
SEA,SEA,0,3,0,0,NYG,6,0
WSH,WSH,1,2,0,0,SF,10,0
CIN,CIN,0,3,0,0,ATL,3,0
STL,STL,0,3,0,0,TB,14,0
HOU,HOU,1,2,0,1,IND,3,0
TEN,TEN,1,2,0,1,CLE,28,0
NE,NE,3,0,0,1,KC,41,1
MIA,MIA,3,0,0,1,NYJ,30,1
CHI,CHI,2,1,0,1,NO,23,0
MIN,MIN,0,3,0,1,CAR,14,0
PHI,PHI,2,1,0,1,DAL,44,1
ARZ,ARZ,1,2,0,1,SD,15,0
DEN,DEN,3,0,0,1,BUF,28,1
DET,DET,0,3,0,1,GB,31,0
NYG,NYG,2,1,0,1,SEA,9,1
SF,SF,2,1,0,1,WSH,20,1
ATL,ATL,1,2,0,1,CIN,30,1
TB,TB,2,1,0,1,STL,26,1
