,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,11,23,46,0.5,228,5.0,10.1,0,0,64.4,1,4,14,0,0,10,38,152,4.0,0,7,10,9,3,6,0.5,41,0,0,0,0.0,0,14,7,291,41.6,3,2,61,30.5,0,37,5,44,8.8,0,19,2,6,66,45,21,2,8,4,0,0,0,0,4,1,1,0,10,22,7,14,9,21,0.43,0,0,0.0,2,1,15,24,9,380,152,4.0,0,228,5.0,10.1,0,61,44,15,3,3,4,0,0,1
ATL,13,20,27,0.741,206,7.6,10.7,0,0,95.6,1,8,10,0,0,3,39,187,4.8,3,13,3,12,3,3,1.0,49,0,3,3,1.0,0,3,2,99,49.5,24,1,16,16.0,0,16,4,27,6.8,0,14,1,0,38,34,4,4,22,1,0,0,0,0,8,2,7,0,5,25,13,10,5,11,0.45,1,1,1.0,9,2,65,6,30,393,187,4.8,3,206,7.6,10.7,0,16,27,65,8,1,1,0,0,0
BAL,21,14,28,0.5,143,5.1,10.9,2,0,88.8,2,9,9,0,0,17,32,118,3.7,0,6,16,5,1,2,0.5,30,0,2,2,1.0,0,21,6,214,35.7,19,2,37,18.5,0,19,1,17,17.0,0,17,6,10,66,55,11,2,7,3,0,0,0,0,11,3,6,0,21,16,6,9,6,14,0.43,0,0,0.0,4,1,30,18,17,261,118,3.7,0,143,5.1,10.9,2,37,17,30,8,1,3,0,0,2
BUF,17,15,31,0.484,162,5.2,12.1,1,0,74.9,5,20,6,0,0,15,27,132,4.9,0,6,5,11,3,3,1.0,46,0,2,2,1.0,0,2,6,305,50.8,22,1,17,17.0,0,17,3,22,7.3,0,15,6,10,50,38,12,1,10,4,1,1,2,0,9,3,10,0,22,15,6,6,3,13,0.23,0,1,0.0,4,3,40,11,23,294,132,4.9,0,162,5.2,12.1,1,17,22,40,1,6,4,2,0,0
CAR,27,9,26,0.346,104,4.0,14.0,0,1,31.6,4,22,6,0,0,18,21,101,4.8,0,6,27,0,0,0,0.0,0,0,0,0,0.0,0,5,6,279,46.5,14,4,83,20.8,0,27,0,0,0.0,0,0,22,30,57,52,5,1,8,0,0,1,0,0,1,4,12,0,28,12,6,6,3,11,0.27,0,2,0.0,6,0,40,28,0,205,101,4.8,0,104,4.0,14.0,0,83,0,40,16,-1,0,0,1,0
CHI,24,16,25,0.64,135,5.4,10.2,1,1,74.6,3,28,9,0,0,21,31,89,2.9,1,6,13,8,2,2,1.0,53,0,2,2,1.0,0,5,4,186,46.5,12,5,112,22.4,0,63,2,14,7.0,0,9,17,23,61,48,13,2,29,0,0,2,1,0,6,3,14,0,18,17,6,9,6,12,0.5,0,0,0.0,5,2,40,14,20,224,89,2.9,1,135,5.4,10.2,1,112,14,40,22,-2,0,1,1,2
CLE,23,21,31,0.677,141,4.5,7.0,1,0,88.2,1,7,7,0,0,21,24,89,3.7,2,5,8,10,2,2,1.0,43,0,4,4,1.0,0,15,7,278,39.7,1,4,168,42.0,1,95,3,17,5.7,0,9,10,17,60,49,11,8,41,0,0,2,2,0,7,5,9,0,24,14,5,7,3,13,0.23,1,1,1.0,4,2,42,4,34,230,89,3.7,2,141,4.5,7.0,1,168,17,42,5,2,0,2,0,0
DAL,14,13,22,0.591,194,8.8,15.5,1,4,63.6,2,8,8,0,0,11,36,148,4.1,0,6,27,0,0,1,0.0,0,0,0,0,0.0,0,16,7,274,39.1,9,3,69,23.0,0,26,1,0,0.0,0,0,4,9,76,57,19,1,4,0,0,1,1,0,9,4,4,0,24,14,6,8,2,12,0.17,0,0,0.0,6,0,59,27,6,342,148,4.1,0,194,8.8,15.5,1,69,0,59,25,-3,0,1,4,0
DEN,1,30,50,0.6,366,7.3,12.5,2,0,95.9,1,10,12,0,0,14,27,141,5.2,2,9,1,13,3,3,1.0,33,0,4,4,1.0,0,22,5,166,33.2,11,8,179,22.4,0,31,2,0,0.0,0,0,24,34,54,48,6,4,29,0,0,0,0,0,4,0,0,0,10,22,9,12,5,15,0.33,2,3,0.67,8,1,75,1,37,507,141,5.2,2,366,7.3,12.5,2,179,0,75,16,-1,0,0,0,1
DET,16,16,29,0.552,170,5.9,12.4,0,0,72.5,2,29,10,1,1,2,39,192,4.9,2,11,5,11,3,4,0.75,48,0,2,2,1.0,0,11,5,217,43.4,17,5,95,19.0,0,23,1,4,4.0,0,4,12,20,58,38,20,3,28,1,0,3,2,0,4,4,15,0,8,23,11,10,3,12,0.25,1,1,1.0,10,2,79,11,23,362,192,4.9,2,170,5.9,12.4,0,95,4,79,5,2,1,2,0,1
GB,19,20,29,0.69,155,5.3,8.4,0,0,81.8,1,12,8,0,0,24,25,88,3.5,3,7,3,12,3,3,1.0,41,0,3,3,1.0,0,23,3,95,31.7,15,4,81,20.3,0,26,1,18,18.0,0,18,4,9,70,47,23,6,43,0,0,4,4,0,4,2,4,0,16,19,7,8,4,12,0.33,0,1,0.0,11,4,95,6,30,243,88,3.5,3,155,5.3,8.4,0,81,18,95,3,3,0,4,0,1
HOU,7,23,37,0.622,265,7.2,13.3,2,0,101.7,8,41,12,1,1,21,22,89,4.0,0,4,16,5,1,2,0.5,47,0,2,2,1.0,0,17,7,272,38.9,25,7,99,14.1,0,33,4,14,3.5,0,9,24,34,57,43,14,1,7,0,0,0,0,0,6,1,1,0,18,17,4,12,8,18,0.44,0,0,0.0,6,1,54,18,17,354,89,4.0,0,265,7.2,13.3,2,99,14,54,22,-2,0,0,0,2
IND,4,32,48,0.667,295,6.1,9.5,1,3,64.1,2,9,18,0,0,26,21,72,3.4,0,4,18,4,1,2,0.5,41,0,1,1,1.0,0,27,3,81,27.0,27,4,51,12.8,0,17,2,21,10.5,0,20,21,28,60,40,20,1,6,1,0,0,0,0,2,2,9,0,8,23,4,18,8,16,0.5,2,2,1.0,7,1,55,20,10,367,72,3.4,0,295,6.1,9.5,1,51,21,55,22,-2,1,0,3,0
JAX,12,24,46,0.522,224,4.9,9.6,0,3,38.7,2,7,14,1,0,6,30,173,5.8,1,8,18,4,1,2,0.5,22,0,1,1,1.0,0,18,4,153,38.3,22,4,68,17.0,0,20,2,23,11.5,0,14,10,17,59,46,13,2,9,0,0,2,2,0,5,3,14,0,10,22,8,14,6,16,0.38,2,4,0.5,5,0,30,20,10,397,173,5.8,1,224,4.9,9.6,0,68,23,30,16,-1,0,2,3,0
