,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SD,SD,2,1,0,0,BAL,13,0
MIN,MIN,2,2,0,0,BUF,12,0
NO,NO,3,1,0,0,CAR,18,0
MIA,MIA,1,3,0,0,HOU,15,0
SF,SF,1,3,0,0,KC,0,0
DAL,DAL,2,1,0,0,TEN,45,1
ARZ,ARZ,1,3,0,0,ATL,10,0
IND,IND,4,0,0,0,NYJ,31,1
DET,DET,0,4,0,0,STL,34,0
NE,NE,3,1,0,0,CIN,38,1
CLE,CLE,1,3,0,0,OAK,24,1
JAX,JAX,2,2,0,0,WSH,30,0
SEA,SEA,3,1,0,0,CHI,6,0
GB,GB,1,3,0,0,PHI,9,0
BAL,BAL,4,0,0,1,SD,16,1
BUF,BUF,2,2,0,1,MIN,17,1
CAR,CAR,2,2,0,1,NO,21,1
HOU,HOU,1,3,0,1,MIA,17,1
KC,KC,1,2,0,1,SF,41,1
TEN,TEN,0,4,0,1,DAL,14,0
ATL,ATL,3,1,0,1,ARZ,32,1
NYJ,NYJ,2,2,0,1,IND,28,0
STL,STL,3,1,0,1,DET,41,1
CIN,CIN,3,1,0,1,NE,13,0
OAK,OAK,0,3,0,1,CLE,21,0
WSH,WSH,2,2,0,1,JAX,36,1
CHI,CHI,4,0,0,1,SEA,37,1
PHI,PHI,3,1,0,1,GB,31,1
