,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SF,SF,6,8,0,0,SEA,24,1
DAL,DAL,9,5,0,0,ATL,38,1
MIA,MIA,6,8,0,0,BUF,0,0
JAX,JAX,8,6,0,0,TEN,17,0
HOU,HOU,4,10,0,0,NE,7,0
NYJ,NYJ,8,6,0,0,MIN,26,1
DET,DET,2,12,0,0,GB,9,0
TB,TB,3,11,0,0,CHI,31,0
WSH,WSH,5,9,0,0,NO,16,1
CLE,CLE,4,10,0,0,BAL,17,0
PIT,PIT,7,7,0,0,CAR,37,1
DEN,DEN,8,6,0,0,ARZ,37,1
PHI,PHI,8,6,0,0,NYG,36,1
STL,STL,6,8,0,0,OAK,20,1
KC,KC,7,7,0,0,SD,9,0
CIN,CIN,8,6,0,0,IND,16,0
SEA,SEA,8,6,0,1,SF,14,0
ATL,ATL,7,7,0,1,DAL,28,0
BUF,BUF,7,7,0,1,MIA,21,1
TEN,TEN,7,7,0,1,JAX,24,1
NE,NE,10,4,0,1,HOU,40,1
MIN,MIN,6,8,0,1,NYJ,13,0
GB,GB,6,8,0,1,DET,17,1
CHI,CHI,12,2,0,1,TB,34,1
NO,NO,9,5,0,1,WSH,10,0
BAL,BAL,11,3,0,1,CLE,27,1
CAR,CAR,6,8,0,1,PIT,3,0
ARZ,ARZ,4,10,0,1,DEN,20,0
NYG,NYG,7,7,0,1,PHI,22,0
OAK,OAK,2,12,0,1,STL,0,0
SD,SD,12,2,0,1,KC,20,1
IND,IND,11,3,0,1,CIN,34,1
