,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CLE,CLE,4,9,0,0,PIT,7,0
NYG,NYG,7,6,0,0,CAR,27,1
PHI,PHI,7,6,0,0,WSH,21,1
ATL,ATL,7,6,0,0,TB,17,1
NE,NE,9,4,0,0,MIA,0,0
BAL,BAL,10,3,0,0,KC,20,1
IND,IND,10,3,0,0,JAX,17,0
OAK,OAK,2,11,0,0,CIN,10,0
MIN,MIN,6,7,0,0,DET,30,1
TEN,TEN,6,7,0,0,HOU,26,1
GB,GB,5,8,0,0,SF,30,1
SEA,SEA,8,5,0,0,ARZ,21,0
BUF,BUF,6,7,0,0,NYJ,31,1
DEN,DEN,7,6,0,0,SD,20,0
NO,NO,9,4,0,0,DAL,42,1
CHI,CHI,11,2,0,0,STL,42,1
PIT,PIT,6,7,0,1,CLE,27,1
CAR,CAR,6,7,0,1,NYG,13,0
WSH,WSH,4,9,0,1,PHI,19,0
TB,TB,3,10,0,1,ATL,6,0
MIA,MIA,6,7,0,1,NE,21,1
KC,KC,7,6,0,1,BAL,10,0
JAX,JAX,8,5,0,1,IND,44,1
CIN,CIN,8,5,0,1,OAK,27,1
DET,DET,2,11,0,1,MIN,20,0
HOU,HOU,4,9,0,1,TEN,20,0
SF,SF,5,8,0,1,GB,19,0
ARZ,ARZ,4,9,0,1,SEA,27,1
NYJ,NYJ,7,6,0,1,BUF,13,0
SD,SD,11,2,0,1,DEN,48,1
DAL,DAL,8,5,0,1,NO,17,0
STL,STL,5,8,0,1,CHI,27,0
