,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DAL,DAL,4,4,0,0,WSH,19,0
TEN,TEN,2,6,0,0,JAX,7,0
MIA,MIA,2,6,0,0,CHI,31,1
GB,GB,3,5,0,0,BUF,10,0
CIN,CIN,4,4,0,0,BAL,20,0
ATL,ATL,5,3,0,0,DET,14,0
NO,NO,6,2,0,0,TB,31,1
HOU,HOU,2,6,0,0,NYG,10,0
KC,KC,5,3,0,0,STL,31,1
MIN,MIN,4,4,0,0,SF,3,0
CLE,CLE,2,6,0,0,SD,25,0
DEN,DEN,6,2,0,0,PIT,31,1
IND,IND,8,0,0,0,NE,27,1
OAK,OAK,2,6,0,0,SEA,0,0
WSH,WSH,3,5,0,1,DAL,22,1
JAX,JAX,5,3,0,1,TEN,37,1
CHI,CHI,7,1,0,1,MIA,13,0
BUF,BUF,3,5,0,1,GB,24,1
BAL,BAL,6,2,0,1,CIN,26,1
DET,DET,2,6,0,1,ATL,30,1
TB,TB,2,6,0,1,NO,14,0
NYG,NYG,6,2,0,1,HOU,14,1
STL,STL,4,4,0,1,KC,17,0
SF,SF,3,5,0,1,MIN,9,1
SD,SD,6,2,0,1,CLE,32,1
PIT,PIT,2,6,0,1,DEN,20,0
NE,NE,6,2,0,1,IND,20,0
SEA,SEA,5,3,0,1,OAK,16,1
