,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
BUF,BUF,2,3,0,0,CHI,7,0
STL,STL,4,1,0,0,GB,23,1
TEN,TEN,0,5,0,0,IND,13,0
DET,DET,0,5,0,0,MIN,17,0
CLE,CLE,1,4,0,0,CAR,12,0
MIA,MIA,1,4,0,0,NE,10,0
WSH,WSH,2,3,0,0,NYG,3,0
TB,TB,0,4,0,0,NO,21,0
KC,KC,2,2,0,0,ARZ,23,1
NYJ,NYJ,2,3,0,0,JAX,0,0
OAK,OAK,0,4,0,0,SF,20,0
DAL,DAL,2,2,0,0,PHI,24,0
PIT,PIT,1,3,0,0,SD,13,0
BAL,BAL,4,1,0,0,DEN,3,0
CHI,CHI,5,0,0,1,BUF,40,1
GB,GB,1,4,0,1,STL,20,0
IND,IND,5,0,0,1,TEN,14,1
MIN,MIN,3,2,0,1,DET,26,1
CAR,CAR,3,2,0,1,CLE,20,1
NE,NE,4,1,0,1,MIA,20,1
NYG,NYG,2,2,0,1,WSH,19,1
NO,NO,4,1,0,1,TB,24,1
ARZ,ARZ,1,4,0,1,KC,20,0
JAX,JAX,3,2,0,1,NYJ,41,1
SF,SF,2,3,0,1,OAK,34,1
PHI,PHI,4,1,0,1,DAL,38,1
SD,SD,3,1,0,1,PIT,23,1
DEN,DEN,3,1,0,1,BAL,13,1
