,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIN,MIN,6,9,0,0,GB,7,0
KC,KC,8,7,0,0,OAK,20,1
BAL,BAL,12,3,0,0,PIT,31,1
NO,NO,10,5,0,0,NYG,30,1
CAR,CAR,7,8,0,0,ATL,10,1
IND,IND,11,4,0,0,HOU,24,0
TB,TB,4,11,0,0,CLE,22,1
WSH,WSH,5,10,0,0,STL,31,0
NE,NE,11,4,0,0,JAX,24,1
TEN,TEN,8,7,0,0,BUF,30,1
CHI,CHI,13,2,0,0,DET,26,1
ARZ,ARZ,5,10,0,0,SF,26,1
SD,SD,13,2,0,0,SEA,20,1
CIN,CIN,8,7,0,0,DEN,23,0
PHI,PHI,9,6,0,0,DAL,23,1
NYJ,NYJ,9,6,0,0,MIA,13,1
GB,GB,7,8,0,1,MIN,9,1
OAK,OAK,2,13,0,1,KC,9,0
PIT,PIT,7,8,0,1,BAL,7,0
NYG,NYG,7,8,0,1,NO,7,0
ATL,ATL,7,8,0,1,CAR,3,0
HOU,HOU,5,10,0,1,IND,27,1
CLE,CLE,4,11,0,1,TB,7,0
STL,STL,7,8,0,1,WSH,37,1
JAX,JAX,8,7,0,1,NE,21,0
BUF,BUF,7,8,0,1,TEN,29,0
DET,DET,2,13,0,1,CHI,21,0
SF,SF,6,9,0,1,ARZ,20,0
SEA,SEA,8,7,0,1,SD,17,0
DEN,DEN,9,6,0,1,CIN,24,1
DAL,DAL,9,6,0,1,PHI,7,0
MIA,MIA,6,9,0,1,NYJ,10,0
