,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
JAX,JAX,3,3,0,0,HOU,7,0
PHI,PHI,4,3,0,0,TB,21,0
DET,DET,1,6,0,0,NYJ,24,0
GB,GB,2,4,0,0,MIA,34,1
PIT,PIT,2,4,0,0,ATL,38,0
NE,NE,5,1,0,0,BUF,28,1
CAR,CAR,4,3,0,0,CIN,14,0
SD,SD,4,2,0,0,KC,27,0
DEN,DEN,5,1,0,0,CLE,17,1
WSH,WSH,2,5,0,0,IND,22,0
ARZ,ARZ,1,6,0,0,OAK,9,0
MIN,MIN,4,2,0,0,SEA,31,1
NYG,NYG,4,2,0,0,DAL,36,1
HOU,HOU,2,4,0,1,JAX,27,1
TB,TB,2,4,0,1,PHI,23,1
NYJ,NYJ,4,3,0,1,DET,31,1
MIA,MIA,1,6,0,1,GB,24,0
ATL,ATL,4,2,0,1,PIT,41,1
BUF,BUF,2,5,0,1,NE,6,0
CIN,CIN,4,2,0,1,CAR,17,1
KC,KC,3,3,0,1,SD,30,1
CLE,CLE,1,5,0,1,DEN,7,0
IND,IND,6,0,0,1,WSH,36,1
OAK,OAK,1,5,0,1,ARZ,22,1
SEA,SEA,4,2,0,1,MIN,13,0
DAL,DAL,3,3,0,1,NYG,22,0
