,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
GB,GB,9,6,0,0,MIN,34,1
OAK,OAK,5,10,0,0,KC,30,0
DEN,DEN,9,6,0,0,TEN,37,1
SD,SD,11,4,0,0,IND,31,0
BAL,BAL,8,7,0,0,PIT,7,0
ATL,ATL,11,4,0,0,NO,13,0
HOU,HOU,7,8,0,0,JAX,21,1
CHI,CHI,5,10,0,0,DET,13,0
NYG,NYG,5,10,0,0,CIN,22,0
BUF,BUF,9,6,0,0,SF,41,1
NE,NE,13,2,0,0,NYJ,23,1
CAR,CAR,7,8,0,0,TB,37,1
WSH,WSH,5,10,0,0,DAL,10,0
ARZ,ARZ,5,10,0,0,SEA,21,0
CLE,CLE,3,12,0,0,MIA,7,0
PHI,PHI,13,2,0,0,STL,7,0
MIN,MIN,8,7,0,1,GB,31,0
KC,KC,7,8,0,1,OAK,31,1
TEN,TEN,4,11,0,1,DEN,16,0
IND,IND,12,3,0,1,SD,34,1
PIT,PIT,14,1,0,1,BAL,20,1
NO,NO,7,8,0,1,ATL,26,1
JAX,JAX,8,7,0,1,HOU,0,0
DET,DET,6,9,0,1,CHI,19,1
CIN,CIN,7,8,0,1,NYG,23,1
SF,SF,2,13,0,1,BUF,7,0
NYJ,NYJ,10,5,0,1,NE,7,0
TB,TB,5,10,0,1,CAR,20,0
DAL,DAL,6,9,0,1,WSH,13,1
SEA,SEA,8,7,0,1,ARZ,24,1
MIA,MIA,4,11,0,1,CLE,10,1
STL,STL,7,8,0,1,PHI,20,1
