,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DET,DET,4,3,0,0,DAL,21,0
JAX,JAX,5,3,0,0,HOU,6,0
IND,IND,4,3,0,0,KC,35,0
NYG,NYG,5,2,0,0,MIN,34,1
BAL,BAL,4,3,0,0,PHI,10,0
GB,GB,4,4,0,0,WSH,28,1
ARZ,ARZ,2,5,0,0,BUF,14,0
CIN,CIN,2,5,0,0,TEN,20,0
CAR,CAR,1,6,0,0,SEA,17,0
ATL,ATL,6,2,0,0,DEN,41,1
NE,NE,6,1,0,0,PIT,20,0
OAK,OAK,2,6,0,0,SD,14,0
SF,SF,1,6,0,0,CHI,13,0
MIA,MIA,1,7,0,0,NYJ,14,0
DAL,DAL,3,4,0,1,DET,31,1
HOU,HOU,4,3,0,1,JAX,20,1
KC,KC,3,4,0,1,IND,45,1
MIN,MIN,5,2,0,1,NYG,13,0
PHI,PHI,7,0,0,1,BAL,15,1
WSH,WSH,2,5,0,1,GB,14,0
BUF,BUF,2,5,0,1,ARZ,38,1
TEN,TEN,3,5,0,1,CIN,27,1
SEA,SEA,4,3,0,1,CAR,23,1
DEN,DEN,5,3,0,1,ATL,28,0
PIT,PIT,6,1,0,1,NE,34,1
SD,SD,5,3,0,1,OAK,42,1
CHI,CHI,2,5,0,1,SF,23,1
NYJ,NYJ,6,1,0,1,MIA,41,1
