,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
OAK,OAK,2,2,0,0,HOU,17,0
IND,IND,3,1,0,0,JAX,24,1
CIN,CIN,1,3,0,0,PIT,17,0
PHI,PHI,4,0,0,0,CHI,19,1
NE,NE,3,0,0,0,BUF,31,1
WSH,WSH,1,3,0,0,CLE,13,0
NYG,NYG,3,1,0,0,GB,14,1
ATL,ATL,4,0,0,0,CAR,27,1
NO,NO,2,2,0,0,ARZ,10,0
DEN,DEN,3,1,0,0,TB,16,1
TEN,TEN,1,3,0,0,SD,17,0
NYJ,NYJ,3,0,0,0,MIA,17,1
STL,STL,2,2,0,0,SF,24,1
KC,KC,1,3,0,0,BAL,27,1
HOU,HOU,2,2,0,1,OAK,30,1
JAX,JAX,3,1,0,1,IND,17,0
PIT,PIT,3,1,0,1,CIN,28,1
CHI,CHI,1,3,0,1,PHI,9,0
BUF,BUF,0,3,0,1,NE,17,0
CLE,CLE,2,2,0,1,WSH,17,1
GB,GB,1,3,0,1,NYG,7,0
CAR,CAR,1,2,0,1,ATL,10,0
ARZ,ARZ,1,3,0,1,NO,34,1
TB,TB,0,4,0,1,DEN,13,0
SD,SD,2,2,0,1,TEN,38,1
MIA,MIA,0,4,0,1,NYJ,9,0
SF,SF,0,4,0,1,STL,14,0
BAL,BAL,2,2,0,1,KC,24,0
