,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NYG,NYG,4,1,0,0,DAL,26,1
MIN,MIN,3,1,0,0,HOU,34,1
OAK,OAK,2,3,0,0,IND,14,0
MIA,MIA,0,5,0,0,NE,10,0
TB,TB,1,4,0,0,NO,20,1
DET,DET,3,1,0,0,ATL,17,1
CLE,CLE,2,3,0,0,PIT,23,0
JAX,JAX,3,2,0,0,SD,21,0
BUF,BUF,0,4,0,0,NYJ,14,0
CAR,CAR,1,3,0,0,DEN,17,0
ARZ,ARZ,1,4,0,0,SF,28,0
STL,STL,3,2,0,0,SEA,33,1
BAL,BAL,3,2,0,0,WSH,17,1
TEN,TEN,2,3,0,0,GB,48,1
DAL,DAL,2,2,0,1,NYG,10,0
HOU,HOU,2,3,0,1,MIN,28,0
IND,IND,4,1,0,1,OAK,35,1
NE,NE,4,0,0,1,MIA,24,1
NO,NO,2,3,0,1,TB,17,0
ATL,ATL,4,1,0,1,DET,10,0
PIT,PIT,4,1,0,1,CLE,34,1
SD,SD,3,2,0,1,JAX,34,1
NYJ,NYJ,4,0,0,1,BUF,16,1
DEN,DEN,4,1,0,1,CAR,20,1
SF,SF,1,4,0,1,ARZ,31,1
SEA,SEA,3,1,0,1,STL,27,0
WSH,WSH,1,4,0,1,BAL,10,0
GB,GB,1,4,0,1,TEN,27,0
