,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
PIT,PIT,13,1,0,0,NYG,33,1
WSH,WSH,5,9,0,0,SF,26,1
CAR,CAR,6,8,0,0,ATL,31,0
BUF,BUF,8,6,0,0,CIN,33,1
SEA,SEA,7,7,0,0,NYJ,14,0
DEN,DEN,8,6,0,0,KC,17,0
HOU,HOU,6,8,0,0,CHI,24,1
DAL,DAL,5,9,0,0,PHI,7,0
MIN,MIN,8,6,0,0,DET,28,1
SD,SD,11,3,0,0,CLE,21,1
NO,NO,6,8,0,0,TB,21,1
STL,STL,6,8,0,0,ARZ,7,0
TEN,TEN,4,10,0,0,OAK,35,0
JAX,JAX,8,6,0,0,GB,28,1
BAL,BAL,8,6,0,0,IND,10,0
NE,NE,12,2,0,0,MIA,28,0
NYG,NYG,5,9,0,1,PIT,30,0
SF,SF,2,12,0,1,WSH,16,0
ATL,ATL,11,3,0,1,CAR,34,1
CIN,CIN,6,8,0,1,BUF,17,0
NYJ,NYJ,10,4,0,1,SEA,37,1
KC,KC,6,8,0,1,DEN,45,1
CHI,CHI,5,9,0,1,HOU,5,0
PHI,PHI,13,1,0,1,DAL,12,1
DET,DET,5,9,0,1,MIN,27,0
CLE,CLE,3,11,0,1,SD,0,0
TB,TB,5,9,0,1,NO,17,0
ARZ,ARZ,5,9,0,1,STL,31,1
OAK,OAK,5,9,0,1,TEN,40,1
GB,GB,8,6,0,1,JAX,25,0
IND,IND,11,3,0,1,BAL,20,1
MIA,MIA,3,11,0,1,NE,29,1
