,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIA,MIA,0,6,0,0,BUF,13,0
WSH,WSH,2,4,0,0,CHI,13,1
CIN,CIN,1,4,0,0,CLE,17,0
GB,GB,2,4,0,0,DET,38,1
KC,KC,1,4,0,0,JAX,16,0
SF,SF,1,5,0,0,NYJ,14,0
CAR,CAR,1,4,0,0,PHI,8,0
HOU,HOU,3,3,0,0,TEN,20,1
SD,SD,3,3,0,0,ATL,20,0
SEA,SEA,3,2,0,0,NE,20,0
DEN,DEN,5,1,0,0,OAK,31,1
PIT,PIT,5,1,0,0,DAL,24,1
MIN,MIN,4,1,0,0,NO,38,1
TB,TB,1,5,0,0,STL,21,0
BUF,BUF,1,4,0,1,MIA,20,1
CHI,CHI,1,4,0,1,WSH,10,0
CLE,CLE,3,3,0,1,CIN,34,1
DET,DET,3,2,0,1,GB,10,0
JAX,JAX,4,2,0,1,KC,22,1
NYJ,NYJ,5,0,0,1,SF,22,1
PHI,PHI,5,0,0,1,CAR,30,1
TEN,TEN,2,4,0,1,HOU,10,0
ATL,ATL,5,1,0,1,SD,21,1
NE,NE,5,0,0,1,SEA,30,1
OAK,OAK,2,4,0,1,DEN,3,0
DAL,DAL,2,3,0,1,PIT,20,0
NO,NO,2,4,0,1,MIN,31,0
STL,STL,4,2,0,1,TB,28,1
