,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,7,22,41,0.537,266,6.5,13.5,1,0,82.0,2,31,13,2,1,14,21,112,5.3,1,6,21,5,1,1,1.0,22,0,2,2,1.0,0,12,6,262,43.7,6,3,82,27.3,0,31,5,31,6.2,0,9,8,13,59,58,1,2,13,3,0,2,1,0,5,2,8,0,7,21,6,13,5,13,0.38,0,0,0.0,10,2,72,14,17,378,112,5.3,1,266,6.5,13.5,1,82,31,72,13,0,3,1,0,4
ATL,11,27,44,0.614,237,5.4,9.3,0,1,66.2,2,15,11,0,0,27,25,58,2.3,0,6,3,9,3,4,0.75,49,0,0,0,0.0,0,28,7,281,40.1,21,4,82,20.5,0,22,2,20,10.0,0,14,15,15,68,45,23,3,25,1,0,0,0,0,4,1,1,0,15,18,6,11,6,16,0.38,0,0,0.0,3,1,24,28,9,295,58,2.3,0,237,5.4,9.3,0,82,20,24,13,0,1,0,1,0
BAL,13,20,38,0.526,233,6.1,12.4,0,1,60.5,2,15,12,1,1,29,35,49,1.4,1,2,24,4,1,1,1.0,25,0,1,1,1.0,0,26,6,244,40.7,24,4,72,18.0,0,23,4,5,1.3,0,10,3,9,39,28,11,2,14,0,0,2,1,0,1,1,1,0,11,20,2,12,11,19,0.58,0,0,0.0,5,6,38,26,10,282,49,1.4,1,233,6.1,12.4,0,72,5,38,30,-2,0,1,1,2
BUF,29,18,34,0.529,116,3.4,7.7,1,0,70.2,3,23,6,0,0,28,17,50,2.9,0,3,24,4,1,2,0.5,51,0,1,1,1.0,0,17,7,298,42.6,32,1,11,11.0,0,11,3,30,10.0,0,19,15,15,90,52,38,3,18,0,0,0,0,0,5,2,5,0,30,9,3,6,3,14,0.21,1,3,0.33,5,0,35,26,10,166,50,2.9,0,116,3.4,7.7,1,11,30,35,13,0,0,0,0,0
CAR,26,14,35,0.4,148,4.2,13.0,1,3,26.8,4,34,10,2,1,20,24,89,3.7,0,2,1,10,3,3,1.0,52,0,1,1,1.0,0,13,4,173,43.3,9,7,172,24.6,0,45,2,38,19.0,0,28,28,31,68,49,19,1,5,3,0,1,1,0,5,6,23,1,23,14,2,10,8,17,0.47,0,1,0.0,7,2,63,13,18,237,89,3.7,0,148,4.2,13.0,1,172,38,63,21,-1,3,1,3,2
CHI,2,23,35,0.657,362,10.3,16.2,2,1,107.1,4,10,15,1,1,18,31,101,3.3,0,4,10,7,2,2,1.0,31,0,1,1,1.0,0,31,5,151,30.2,14,3,70,23.3,0,30,5,17,3.4,0,9,11,14,47,41,6,2,23,1,0,2,2,0,3,6,18,0,4,23,4,15,6,14,0.43,0,1,0.0,9,4,100,12,19,463,101,3.3,0,362,10.3,16.2,2,70,17,100,21,-1,1,2,1,3
CIN,3,34,50,0.68,341,6.8,10.1,2,1,92.2,1,4,21,0,0,23,25,87,3.5,1,5,17,6,1,1,1.0,54,0,3,3,1.0,0,7,3,139,46.3,25,4,70,17.5,0,19,0,0,0.0,0,0,31,38,61,43,18,0,0,0,0,0,0,0,2,1,2,0,1,26,5,21,8,15,0.53,3,3,1.0,2,0,5,7,24,428,87,3.5,1,341,6.8,10.1,2,70,0,5,30,-2,0,0,1,1
CLE,12,21,38,0.553,236,6.2,11.2,1,2,60.9,0,0,9,0,0,16,23,104,4.5,1,5,28,2,0,1,0.0,0,0,2,2,1.0,0,10,6,266,44.3,29,4,57,14.3,0,18,3,29,9.7,0,15,17,17,65,46,19,3,13,1,0,1,1,0,7,1,2,0,22,15,5,9,5,13,0.38,0,1,0.0,5,1,47,19,14,340,104,4.5,1,236,6.2,11.2,1,57,29,47,21,-1,1,1,2,1
DAL,5,31,48,0.646,277,5.8,9.1,1,0,86.9,1,5,15,0,0,17,22,103,4.7,0,8,32,1,0,1,0.0,0,0,1,1,1.0,0,26,6,244,40.7,27,3,50,16.7,0,21,1,11,11.0,0,11,8,13,53,39,14,1,10,0,0,1,0,0,3,2,3,0,3,24,8,15,5,13,0.38,1,1,1.0,12,1,81,31,7,380,103,4.7,0,277,5.8,9.1,1,50,11,81,21,-1,0,0,0,1
DEN,6,21,33,0.636,274,8.3,14.0,1,1,87.2,3,21,14,0,0,20,25,89,3.6,1,6,21,5,1,1,1.0,54,0,2,2,1.0,0,15,4,172,43.0,20,3,62,20.7,0,25,1,4,4.0,0,4,24,24,46,42,4,1,5,0,0,0,0,0,1,1,1,0,7,21,6,14,3,10,0.3,1,2,0.5,7,1,70,14,17,363,89,3.6,1,274,8.3,14.0,1,62,4,70,30,-2,0,0,1,1
DET,26,20,34,0.588,148,4.4,8.6,0,1,57.0,2,23,9,1,1,32,21,20,1.0,2,3,28,2,0,0,0.0,0,0,2,2,1.0,0,18,8,337,42.1,17,3,68,22.7,0,32,2,3,1.5,0,3,21,19,60,56,4,4,10,1,0,4,3,0,3,2,4,0,27,13,3,9,4,14,0.29,0,1,0.0,7,1,40,19,14,168,20,1.0,2,148,4.4,8.6,0,68,3,40,4,1,1,3,1,2
GB,19,19,31,0.613,167,5.4,9.9,2,2,70.2,3,21,13,0,0,8,33,132,4.0,1,8,3,9,2,2,1.0,56,0,3,3,1.0,0,19,4,166,41.5,4,5,156,31.2,0,51,1,10,10.0,0,10,22,20,45,41,4,6,28,0,0,2,1,0,7,1,1,0,6,22,8,13,6,14,0.43,0,0,0.0,2,1,15,6,27,299,132,4.0,1,167,5.4,9.9,2,156,10,15,21,-1,0,1,2,0
HOU,30,9,17,0.529,98,5.8,11.9,1,1,65.3,2,9,7,0,0,1,42,257,6.1,3,15,1,10,2,2,1.0,49,0,4,4,1.0,0,9,2,91,45.5,7,3,79,26.3,0,33,1,39,39.0,0,39,24,24,65,44,21,2,14,0,0,1,1,0,5,0,0,0,4,23,15,7,6,11,0.55,1,1,1.0,7,1,50,3,34,355,257,6.1,3,98,5.8,11.9,1,79,39,50,13,0,0,1,1,0
