,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,24,11,25,0.44,178,7.1,16.6,1,0,81.8,1,5,6,0,0,18,21,93,4.4,0,3,8,9,2,3,0.667,49,0,3,3,1.0,0,3,6,281,46.8,11,5,109,21.8,0,32,4,25,6.3,0,11,19,26,62,59,3,5,27,2,2,1,1,0,7,2,3,0,30,10,3,6,2,11,0.18,1,1,1.0,6,1,43,10,27,271,93,4.4,0,178,7.1,16.6,1,109,25,43,3,3,2,1,0,0
ATL,28,15,29,0.517,140,4.8,9.9,1,0,76.8,1,8,8,0,0,26,22,75,3.4,0,2,29,2,0,0,0.0,0,0,2,2,1.0,0,14,8,349,43.6,31,2,26,13.0,0,18,2,6,3.0,0,4,8,17,64,46,18,1,6,2,1,0,0,0,5,2,2,0,27,14,2,8,3,12,0.25,0,0,0.0,1,4,10,27,14,215,75,3.4,0,140,4.8,9.9,1,26,6,10,12,0,2,0,0,2
BAL,30,12,19,0.632,97,5.1,8.5,2,1,89.1,1,5,6,1,0,5,38,161,4.2,0,9,12,8,2,2,1.0,40,0,2,2,1.0,0,7,3,137,45.7,28,1,15,15.0,0,15,1,1,1.0,0,1,3,10,47,39,8,0,0,3,0,1,1,0,6,0,0,0,24,15,9,6,7,13,0.54,0,1,0.0,1,0,5,19,20,258,161,4.2,0,97,5.1,8.5,2,15,1,5,3,3,3,1,1,0
BUF,15,18,37,0.486,244,6.6,13.9,0,3,36.3,3,7,12,1,1,10,20,125,6.3,0,3,27,3,1,1,1.0,26,0,0,0,0.0,0,29,2,68,34.0,25,7,115,16.4,0,22,1,0,0.0,0,0,25,34,77,48,29,1,9,0,0,0,0,0,5,1,3,0,19,16,3,12,3,10,0.3,1,3,0.33,6,1,40,31,3,369,125,6.3,0,244,6.6,13.9,0,115,0,40,32,-7,0,0,3,4
CAR,32,10,23,0.435,45,2.0,7.2,0,1,32.7,4,27,3,0,0,27,22,74,3.4,0,4,27,3,1,1,1.0,27,0,0,0,0.0,0,29,8,272,34.0,10,6,132,22.0,0,36,2,18,9.0,0,19,21,27,56,45,11,3,27,0,0,0,2,0,1,3,7,0,32,7,4,3,3,13,0.23,0,1,0.0,6,0,62,31,3,119,74,3.4,0,45,2.0,7.2,0,132,18,62,12,0,0,2,1,1
CHI,21,13,25,0.52,202,8.1,16.5,3,1,102.0,2,13,8,0,0,12,27,120,4.4,2,7,12,8,1,2,0.5,37,0,5,5,1.0,0,12,4,176,44.0,27,7,114,16.3,0,40,1,38,38.0,0,38,25,34,58,52,6,0,0,1,0,2,1,0,5,3,4,0,19,16,7,8,3,9,0.33,0,0,0.0,6,1,31,2,38,322,120,4.4,2,202,8.1,16.5,3,114,38,31,8,1,1,1,1,0
CIN,10,16,21,0.762,269,12.8,16.8,4,0,157.2,0,0,13,0,0,16,38,102,2.7,1,5,25,4,0,0,0.0,0,0,4,5,0.8,0,31,4,129,32.3,15,4,84,21.0,0,27,0,0,0.0,0,0,12,20,63,32,31,1,7,1,0,1,1,0,5,2,2,0,17,18,5,13,8,14,0.57,1,2,0.5,6,0,57,4,34,371,102,2.7,1,269,12.8,16.8,4,84,0,57,8,1,1,1,0,1
CLE,24,16,30,0.533,178,5.9,11.1,1,3,42.8,0,0,11,0,0,16,26,102,3.9,0,6,25,4,1,1,1.0,30,0,1,1,1.0,0,26,3,116,38.7,5,5,126,25.2,0,37,2,17,8.5,0,17,12,20,60,48,12,1,5,1,0,1,0,0,2,0,0,0,18,17,6,11,7,11,0.64,0,0,0.0,2,0,20,30,10,280,102,3.9,0,178,5.9,11.1,1,126,17,20,28,-3,1,0,3,1
DAL,22,23,37,0.622,199,5.4,9.8,2,2,71.8,5,27,10,0,0,4,34,183,5.4,1,11,12,8,2,2,1.0,53,0,2,3,0.667,0,2,5,267,53.4,20,4,69,17.3,0,25,3,27,9.0,0,16,21,27,35,32,3,1,5,0,0,0,0,0,3,1,1,0,5,24,11,10,8,18,0.44,1,1,1.0,7,3,49,13,26,382,183,5.4,1,199,5.4,9.8,2,69,27,49,28,-3,0,0,2,1
DEN,4,16,29,0.552,305,10.5,19.3,1,1,89.0,1,3,13,0,0,9,33,126,3.8,2,10,19,6,1,1,1.0,27,0,3,3,1.0,0,15,4,174,43.5,7,2,47,23.5,0,25,2,19,9.5,0,19,15,23,46,43,3,0,0,1,0,0,0,0,5,4,7,0,4,25,10,13,5,11,0.45,0,0,0.0,4,2,27,16,24,431,126,3.8,2,305,10.5,19.3,1,47,19,27,12,0,1,0,1,0
