,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,27,18,33,0.545,149,4.5,9.1,0,3,28.5,2,15,8,1,0,14,13,118,9.1,1,2,30,1,0,1,0.0,0,0,1,1,1.0,0,15,5,220,44.0,23,5,91,18.2,0,26,0,0,0.0,0,0,32,41,62,57,5,1,2,0,0,1,1,0,5,1,5,0,31,11,2,8,0,8,0.0,0,1,0.0,10,1,109,30,7,267,118,9.1,1,149,4.5,9.1,0,91,0,109,20,-2,0,1,3,0
ATL,18,21,32,0.656,223,7.0,10.7,3,0,117.1,1,2,12,0,0,1,45,221,4.9,2,13,4,11,2,2,1.0,35,0,5,5,1.0,0,30,2,68,34.0,3,2,64,32.0,0,34,1,17,17.0,0,17,1,7,39,32,7,2,15,3,0,1,0,0,7,1,1,0,1,33,13,12,11,17,0.65,1,2,0.5,6,8,75,1,41,444,221,4.9,2,223,7.0,10.7,3,64,17,75,9,2,3,0,0,1
BAL,26,17,39,0.436,150,3.8,9.1,1,4,23.4,1,4,7,0,0,16,23,109,4.7,0,6,20,4,1,1,1.0,38,0,1,1,1.0,0,29,7,257,36.7,4,3,92,30.7,0,39,5,31,6.2,0,20,14,15,58,32,26,1,8,0,0,0,0,0,6,3,4,0,22,14,6,7,4,15,0.27,0,1,0.0,5,1,45,28,10,259,109,4.7,0,150,3.8,9.1,1,92,31,45,29,-4,0,0,4,0
BUF,31,11,18,0.611,62,3.4,9.3,0,2,27.8,4,40,4,0,0,10,32,124,3.9,1,9,30,1,0,0,0.0,0,0,1,1,1.0,0,11,5,232,46.4,7,7,192,27.4,0,41,1,0,0.0,0,0,28,34,55,42,13,0,0,0,0,2,0,0,2,0,0,0,22,14,9,4,4,12,0.33,0,2,0.0,4,1,35,30,7,186,124,3.9,1,62,3.4,9.3,0,192,0,35,20,-2,0,0,2,0
CAR,24,13,29,0.448,159,5.5,14.2,1,2,45.0,4,25,10,1,1,13,33,119,3.6,0,6,30,1,0,0,0.0,0,0,1,1,1.0,0,23,5,205,41.0,22,5,92,18.4,0,43,4,8,2.0,0,4,18,20,50,43,7,0,0,0,0,0,0,0,4,5,14,0,19,16,6,10,5,16,0.31,3,4,0.75,4,0,48,30,7,278,119,3.6,0,159,5.5,14.2,1,92,8,48,25,-3,0,0,2,1
CHI,9,21,29,0.724,270,9.3,13.2,3,0,135.7,1,7,10,0,0,30,19,38,2.0,0,3,9,9,2,2,1.0,40,0,3,3,1.0,0,28,6,236,39.3,6,3,85,28.3,0,42,1,-5,-5.0,0,-5,18,20,54,46,8,0,0,2,0,1,1,0,7,5,11,0,22,14,3,10,1,11,0.09,1,1,1.0,2,1,10,10,27,308,38,2.0,0,270,9.3,13.2,3,85,-5,10,5,3,2,1,0,0
CIN,24,16,35,0.457,159,4.5,10.4,0,0,59.1,1,8,8,0,0,20,31,94,3.0,0,4,1,15,5,5,1.0,46,0,0,0,0.0,0,14,8,353,44.1,1,1,60,60.0,0,60,2,6,3.0,0,6,4,10,51,27,24,1,4,4,0,1,0,0,9,2,4,0,22,14,4,8,3,18,0.17,0,0,0.0,9,2,56,19,15,253,94,3.0,0,159,4.5,10.4,0,60,6,56,2,4,4,0,0,0
CLE,17,16,31,0.516,226,7.3,14.3,1,1,72.8,1,3,8,0,0,23,26,73,2.8,1,3,23,2,0,1,0.0,0,0,2,2,1.0,0,20,8,337,42.1,32,5,50,10.0,0,19,1,5,5.0,0,5,15,16,68,53,15,1,4,2,0,0,0,0,5,1,2,0,28,13,3,8,4,13,0.31,0,0,0.0,9,2,78,20,14,299,73,2.8,1,226,7.3,14.3,1,50,5,78,16,0,2,0,1,1
DAL,3,34,51,0.667,374,7.3,11.0,1,2,78.4,0,0,17,0,0,31,20,36,1.8,0,6,11,8,2,3,0.667,48,0,2,2,1.0,0,19,3,127,42.3,8,4,107,26.8,0,40,3,66,22.0,1,62,22,27,36,34,2,1,7,0,0,0,0,0,2,3,6,0,8,23,6,17,6,13,0.46,0,0,0.0,6,0,50,14,20,410,36,1.8,0,374,7.3,11.0,1,107,66,50,25,-3,0,0,2,1
DEN,6,25,35,0.714,304,8.7,12.3,2,0,116.8,1,3,16,0,0,25,38,65,1.7,2,5,16,7,1,1,1.0,20,0,4,4,1.0,0,3,4,205,51.3,31,1,11,11.0,0,11,2,2,1.0,0,3,8,14,45,35,10,1,3,3,0,0,1,0,5,2,3,0,8,23,5,16,14,20,0.7,0,0,0.0,3,2,35,7,31,369,65,1.7,2,304,8.7,12.3,2,11,2,35,2,4,3,1,0,0
