,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,3,29,38,0.763,340,8.9,11.7,2,0,120.5,0,0,15,0,0,13,30,122,4.1,2,4,13,7,1,1,1.0,27,0,4,4,1.0,0,2,7,364,52.0,8,2,50,25.0,0,26,4,18,4.5,0,16,15,20,57,50,7,4,23,2,0,0,0,0,9,2,2,0,7,22,4,15,2,12,0.17,1,2,0.5,11,3,136,4,31,462,122,4.1,2,340,8.9,11.7,2,50,18,136,3,2,2,0,0,0
ATL,9,22,41,0.537,224,5.5,10.2,1,2,57.4,0,0,12,0,0,5,29,176,6.1,1,7,13,7,2,3,0.667,35,0,1,1,1.0,0,1,2,109,54.5,4,1,28,28.0,0,28,2,37,18.5,0,24,24,28,49,41,8,0,0,0,0,0,0,0,1,2,4,0,7,22,7,12,6,14,0.43,1,2,0.5,4,3,26,17,19,400,176,6.1,1,224,5.5,10.2,1,28,37,26,23,-2,0,0,2,0
BAL,26,13,19,0.684,146,7.7,11.9,0,0,91.1,2,9,6,0,0,12,37,128,3.5,1,6,23,4,1,2,0.5,44,0,1,2,0.5,1,18,7,293,41.9,3,1,31,31.0,0,31,3,5,1.7,0,4,1,0,49,42,7,4,25,2,1,1,0,0,8,2,8,0,23,14,6,6,4,14,0.29,0,1,0.0,7,2,43,22,16,274,128,3.5,1,146,7.7,11.9,0,31,5,43,3,2,2,0,0,0
BUF,17,21,36,0.583,207,5.8,10.4,2,2,70.0,2,11,12,0,0,24,20,89,4.5,0,1,18,5,1,1,1.0,25,0,2,2,1.0,0,17,5,210,42.0,13,8,185,23.1,0,29,2,25,12.5,0,16,30,41,65,49,16,0,0,1,0,0,0,0,3,3,11,0,23,14,1,12,5,14,0.36,0,1,0.0,10,1,65,19,17,296,89,4.5,0,207,5.8,10.4,2,185,25,65,18,-1,1,0,2,0
CAR,20,15,24,0.625,195,8.1,13.0,2,0,115.8,0,0,9,0,0,3,34,185,5.4,2,9,23,4,0,1,0.0,0,1,4,4,1.0,0,10,4,177,44.3,30,0,0,0.0,0,0,0,0,0.0,0,0,14,19,56,46,10,0,0,2,0,0,0,0,5,0,0,0,13,19,9,9,7,13,0.54,0,1,0.0,5,1,48,6,28,380,185,5.4,2,195,8.1,13.0,2,0,0,48,3,2,2,0,0,0
CHI,7,29,52,0.558,307,5.9,10.6,0,5,33.6,0,0,12,0,0,29,21,43,2.0,0,4,16,6,2,2,1.0,50,0,0,0,0.0,0,12,4,176,44.0,28,3,42,14.0,0,15,2,4,2.0,0,2,4,10,57,35,22,2,12,1,0,1,0,0,2,4,7,0,13,19,4,12,8,17,0.47,0,0,0.0,10,3,75,29,6,350,43,2.0,0,307,5.9,10.6,0,42,4,75,30,-4,1,0,5,0
CIN,25,18,30,0.6,157,5.2,9.9,0,0,73.9,2,21,10,0,0,27,29,61,2.1,0,3,2,12,4,5,0.8,43,0,0,0,0.0,0,19,4,166,41.5,2,5,206,41.2,1,96,3,20,6.7,0,8,7,12,59,39,20,4,28,1,0,1,0,0,10,1,3,0,23,14,3,10,4,14,0.29,0,0,0.0,7,1,87,18,18,218,61,2.1,0,157,5.2,9.9,0,206,20,87,9,1,1,0,0,0
CLE,30,13,31,0.419,74,2.4,7.6,0,2,22.6,4,25,6,1,0,25,26,86,3.3,0,5,30,0,0,0,0.0,0,0,0,0,0.0,0,25,9,347,38.6,24,4,75,18.8,0,37,5,18,3.6,0,9,8,16,62,50,12,2,9,0,0,0,0,0,2,4,12,0,29,11,5,6,5,16,0.31,1,1,1.0,6,0,52,30,0,160,86,3.3,0,74,2.4,7.6,0,75,18,52,23,-2,0,0,2,0
DAL,10,24,39,0.615,217,5.6,10.5,1,1,74.4,5,34,10,1,1,27,14,61,4.4,0,4,29,1,0,1,0.0,0,0,1,1,1.0,0,20,6,247,41.2,19,3,60,20.0,0,25,5,41,8.2,0,18,10,17,70,51,19,4,11,0,0,1,0,0,1,1,2,0,20,17,4,10,3,12,0.25,2,2,1.0,10,3,67,28,7,278,61,4.4,0,217,5.6,10.5,1,60,41,67,29,-3,0,0,1,2
DEN,21,14,31,0.452,185,6.0,14.7,2,1,72.6,3,21,8,0,0,15,22,120,5.5,0,6,18,5,1,1,1.0,24,0,2,2,1.0,0,10,4,177,44.3,23,4,76,19.0,0,30,0,0,0.0,0,0,22,27,79,56,23,3,14,0,0,0,0,0,2,1,2,0,23,14,6,8,5,12,0.42,0,2,0.0,4,0,45,19,17,305,120,5.5,0,185,6.0,14.7,2,76,0,45,23,-2,0,0,1,1
DET,19,29,51,0.569,204,4.0,7.7,1,0,72.7,3,20,14,0,0,22,22,93,4.2,0,2,23,4,1,2,0.5,38,0,1,1,1.0,0,21,7,287,41.0,12,4,95,23.8,0,28,2,19,9.5,0,10,22,27,52,40,12,1,4,0,0,1,2,0,3,3,8,0,13,19,2,14,6,17,0.35,0,2,0.0,4,3,40,25,10,297,93,4.2,0,204,4.0,7.7,1,95,19,40,9,1,0,2,0,1
GB,23,25,36,0.694,178,4.9,7.6,1,0,89.8,4,11,11,2,0,21,28,105,3.8,1,5,18,5,1,2,0.5,48,0,2,2,1.0,0,14,7,306,43.7,11,1,24,24.0,0,24,2,25,12.5,0,18,3,7,48,42,6,5,34,1,0,2,2,0,8,2,2,0,11,20,5,11,7,15,0.47,0,0,0.0,12,4,100,19,17,283,105,3.8,1,178,4.9,7.6,1,24,25,100,2,3,1,2,0,0
IND,5,28,44,0.636,316,7.2,11.7,4,2,96.4,1,11,18,0,0,23,18,91,5.1,1,5,18,5,0,0,0.0,0,0,5,5,1.0,0,5,7,339,48.4,16,4,90,22.5,0,25,0,0,0.0,0,0,28,34,73,55,18,2,11,1,0,2,1,0,5,2,3,0,3,25,5,18,5,12,0.42,0,0,0.0,3,2,20,2,35,407,91,5.1,1,316,7.2,11.7,4,90,0,20,14,0,1,1,2,0
